row_label_raw,row_label_full,Bên liên quan,Số cuối năm (VND),Ngày đáo hạn,Lãi vay (%/năm),Tài sản đảm bảo,numeric__Số cuối năm (VND),numeric__Ngày đáo hạn,numeric__Lãi vay (%/năm),numeric__Tài sản đảm bảo
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Vay ngắn hạn > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,300.000.000.000,Đáo hạn lần cuối cùng vào ngày 16 tháng 12 năm 2024.,9%,Tín chấp,300000000000.0,,0.09,
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Vay ngắn hạn > Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,550.000.000.000,Đáo hạn lần cuối cùng vào ngày 29 tháng 6 năm 2024.,1-6%,Tín chấp,550000000000.0,,,
Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Vay ngắn hạn > Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,110.000.000.000,Ngày 29 tháng 11 năm 2024,6%,Tín chấp,110000000000.0,,0.06,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Vay ngắn hạn > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,30.000.000.000,Ngày 31 tháng 12 năm 2024,"0,12%",Tín chấp,30000000000.0,,0.0012,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,990.000.000.000,,,,990000000000.0,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Vay dài hạn > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,3.976.872.636.364,Đáo hạn lần cuối cùng vào ngày 25 tháng 10 năm 2026.,"6,1-9%",Tín chấp,3976872636364.0,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Vay dài hạn > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,2.346.154.812.985,Đáo hạn lần cuối cùng vào ngày 25 tháng 10 năm 2026.,"6,1%",Tín chấp,2346154812985.0,,0.061,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,6.323.027.449.349,,,,6323027449349.0,,,
