row_label_raw,row_label_full,STT,Tên công ty,Tỷ lệ biểu quyết (%),Tỷ lệ lợi ích (%),Trụ sở chính,Hoạt động chính theo đăng ký,numeric__Tên công ty,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ lợi ích (%),numeric__Trụ sở chính,numeric__Hoạt động chính theo đăng ký
I- Nhóm các công ty con sở hữu trực tiếp,I- Nhóm các công ty con sở hữu trực tiếp,I- Nhóm các công ty con sở hữu trực tiếp,I- Nhóm các công ty con sở hữu trực tiếp,I- Nhóm các công ty con sở hữu trực tiếp,I- Nhóm các công ty con sở hữu trực tiếp,I- Nhóm các công ty con sở hữu trực tiếp,I- Nhóm các công ty con sở hữu trực tiếp,,,,,
1,I- Nhóm các công ty con sở hữu trực tiếp > 1,1,Công ty Cổ phầnKhu Công nghiệpSài Gòn - Bắc Giang,"92,5","88,96","Lô CC, Khu công nghiệpQuang Châu, phường QuangChâu, thị xã Việt Yên, tỉnh BắcGiang, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,92.5,88.96,,
2,I- Nhóm các công ty con sở hữu trực tiếp > 2,2,Công ty Cổ phầnKhu Công nghiệpSài Gòn - Hải Phòng,"89,26","89,26","Khu công nghiệp Tràng Duệ,xã Lê Lợi, huyện An Dương,thành phố Hải Phòng, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,89.26,89.26,,
3,I- Nhóm các công ty con sở hữu trực tiếp > 3,3,Công ty Cổ phầnPhát triển Đô thị SàiGòn - Tây Bắc,"74,3","72,82","Áp Trạm Bơm, quốc lộ 22, xãTân Phú Trung, huyện Củ Chi,thành phố Hồ Chí Minh, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,74.3,72.82,,
4,I- Nhóm các công ty con sở hữu trực tiếp > 4,4,Công ty TNHH Mộtthành viên Pháttriển Đô thị TràngCát,100,100,"Khu Bãi Triều, phường TràngCát, quận Hải An, thuộc Khu kinh tế Đình Vũ - Cát Hải,thành phố Hải Phòng, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,100.0,100.0,,
5,I- Nhóm các công ty con sở hữu trực tiếp > 5,5,Công ty TNHH MTVĐầu tư NGD,100,100,"Số 10, ngõ Hàng Bột, phườngCát Linh, quận Đống Đa, thành phố Hà Nội, Việt Nam","Đầu tư, xây dựng và kinh doanh bất động sản",,100.0,100.0,,
