row_label_raw,row_label_full,col_0,Thuyết minh số,Thuyết minh số_1,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá gốc_1,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm,numeric__Thuyết minh số,numeric__Thuyết minh số_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,15.1,,17.306.118.294.000,,-,11.677.909.294.000,,-,151.0,,17306118294000.0,,,11677909294000.0,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,15.2,,805.666.491.074,(40.858.647.574),,805.666.491.074,(230.396.031.274),,152.0,,805666491074.0,-40858647574.0,,805666491074.0,-230396031274.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,15.3,,424.500.200.000,(1.348.074.922),,424.500.200.000,(26.018.164.785),,153.0,,424500200000.0,-1348074922.0,,424500200000.0,-26018164785.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,18.536.284.985.074,(42.206.722.496),,12.908.075.985.074,(256.414.196.059),,,,18536284985074.0,-42206722496.0,,12908075985074.0,-256414196059.0,
15.1 Đầu tư vào công ty con,15.1 Đầu tư vào công ty con,15.1 Đầu tư vào công ty con,15.1 Đầu tư vào công ty con,15.1 Đầu tư vào công ty con,15.1 Đầu tư vào công ty con,15.1 Đầu tư vào công ty con,15.1 Đầu tư vào công ty con,15.1 Đầu tư vào công ty con,15.1 Đầu tư vào công ty con,15.1 Đầu tư vào công ty con,,,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,,
,,,Tỷ lệ biểu quyết,Số cổ phiếu,Giá trị ghi số (VND),Giá trị hợp lý,Tỷ lệ biểu quyết,Số cổ phiếu,Giá trị ghi số (VND),Giá trị hợp lý,,,,,,,,
Công ty TNHH MTV Phát triển Đô thị Tràng Cát (i),15.1 Đầu tư vào công ty con > Công ty TNHH MTV Phát triển Đô thị Tràng Cát (i),Công ty TNHH MTV Phát triển Đô thị Tràng Cát (i),100%,-,12.681.000.000.000,(*),100%,-,7.052.791.000.000,(*),1.0,,12681000000000.0,,1.0,,7052791000000.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,15.1 Đầu tư vào công ty con > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,"89,26%",15.840.000,1.656.000.000.000,(*),"89,26%",15.840.000,1.656.000.000.000,(*),0.8926000000000001,15840000.0,1656000000000.0,,0.8926000000000001,15840000.0,1656000000000.0,
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,15.1 Đầu tư vào công ty con > Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,95%,153.000.000,1.530.000.000.000,(*),95%,153.000.000,1.530.000.000.000,(*),0.95,153000000.0,1530000000000.0,,0.95,153000000.0,1530000000000.0,
Công ty Cổ phần Đầu tư Phát triển Long An,15.1 Đầu tư vào công ty con > Công ty Cổ phần Đầu tư Phát triển Long An,Công ty Cổ phần Đầu tư Phát triển Long An,60%,54.000.000,540.000.000.000,(*),60%,54.000.000,540.000.000.000,(*),0.6,54000000.0,540000000000.0,,0.6,54000000.0,540000000000.0,
Công ty Cổ phần Phát triển Đô thị Sài Gòn - Tây Bắc,15.1 Đầu tư vào công ty con > Công ty Cổ phần Phát triển Đô thị Sài Gòn - Tây Bắc,Công ty Cổ phần Phát triển Đô thị Sài Gòn - Tây Bắc,"74,3%",45.389.361,662.066.314.000,(*),"74,3%",45.389.361,662.066.314.000,(*),0.743,45389361.0,662066314000.0,,0.743,45389361.0,662066314000.0,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang,15.1 Đầu tư vào công ty con > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang,"92,5%",1.309.000,119.000.000.000,(*),"92,5%",1.309.000,119.000.000.000,(*),0.925,1309000.0,119000000000.0,,0.925,1309000.0,119000000000.0,
Công ty TNHH MTV Đầu tư NGD,15.1 Đầu tư vào công ty con > Công ty TNHH MTV Đầu tư NGD,Công ty TNHH MTV Đầu tư NGD,100%,-,105.200.000.000,(*),100%,-,105.200.000.000,(*),1.0,,105200000000.0,,1.0,,105200000000.0,
Công ty Cổ phần Phát triển Đô thị Tiên Dương,15.1 Đầu tư vào công ty con > Công ty Cổ phần Phát triển Đô thị Tiên Dương,Công ty Cổ phần Phát triển Đô thị Tiên Dương,51%,25.500.000,7.411.980.000,(*),51%,25.500.000,7.411.980.000,(*),0.51,25500000.0,7411980000.0,,0.51,25500000.0,7411980000.0,
Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc,15.1 Đầu tư vào công ty con > Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc,Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc,100%,-,5.440.000.000,(*),100%,-,5.440.000.000,(*),1.0,,5440000000.0,,1.0,,5440000000.0,
TỔNG CỘNG,15.1 Đầu tư vào công ty con > TỔNG CỘNG,TỔNG CỘNG,,,17.306.118.294.000,,,,11.677.909.294.000,,,,17306118294000.0,,,,11677909294000.0,
Dự phòng giảm giá đầu tư vào công ty con,Dự phòng giảm giá đầu tư vào công ty con,Dự phòng giảm giá đầu tư vào công ty con,,,-,,,,-,,,,,,,,,
GIÁ TRỊ THUÀN,Dự phòng giảm giá đầu tư vào công ty con > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,,17.306.118.294.000,,,,11.677.909.294.000,,,,17306118294000.0,,,,11677909294000.0,
