row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối nămGiá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối nămGiá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay ngắn hạn ngân hàng(Thuyết minh số 21.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng(Thuyết minh số 21.1),Vay ngắn hạn ngân hàng(Thuyết minh số 21.1),-,159.301.783.251,(109.360.333.778),49.941.449.473,,159301783251.0,-109360333778.0,49941449473.0
Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 21.2),Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 21.2),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 21.2),10.000.000.000,110.000.000.000,(10.000.000.000),110.000.000.000,10000000000.0,110000000000.0,-10000000000.0,110000000000.0
Vay đối tượng khác(Thuyết minh số 21.3),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 21.3),Vay đối tượng khác(Thuyết minh số 21.3),50.000.000.000,-,-,50.000.000.000,50000000000.0,,,50000000000.0
Vay các bên liên quan(Thuyết minh số 30),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 30),Vay các bên liên quan(Thuyết minh số 30),990.000.000.000,-,(930.000.000.000),60.000.000.000,990000000000.0,,-930000000000.0,60000000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.050.000.000.000,269.301.783.251,(1.049.360.333.778),269.941.449.473,1050000000000.0,269301783251.0,-1049360333778.0,269941449473.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Vay ngân hàng(Thuyết minh số 21.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 21.2),Vay ngân hàng(Thuyết minh số 21.2),78.351.763.523,1.106.407.115.865,(178.822.298.001),1.005.936.581.387,78351763523.0,1106407115865.0,-178822298001.0,1005936581387.0
Trái phiếu phát hành(Thuyết minh số 21.4),Vay dài hạn > Trái phiếu phát hành(Thuyết minh số 21.4),Trái phiếu phát hành(Thuyết minh số 21.4),-,1.006.802.777.778,(39.500.000.000),967.302.777.778,,1006802777778.0,-39500000000.0,967302777778.0
Vay các bên liên quan(Thuyết minh số 30),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 30),Vay các bên liên quan(Thuyết minh số 30),6.323.027.449.349,2.255.600.000.000,(2.109.595.890.411),6.469.031.558.938,6323027449349.0,2255600000000.0,-2109595890411.0,6469031558938.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,6.401.379.212.872,4.368.809.893.643,(2.327.918.188.412),8.442.270.918.103,6401379212872.0,4368809893643.0,-2327918188412.0,8442270918103.0
