row_label_raw,row_label_full,Công ty TNHH Bảng mạch chính xác Foxconn Việt Nam,Số cuối năm > 96.053.324.643,Đơn vị tính: VND > Số đầu năm > -,numeric__Số cuối năm > 96.053.324.643,numeric__Đơn vị tính: VND > Số đầu năm > -
Phải thu từ các khách hàng khác,Phải thu từ các khách hàng khác,Phải thu từ các khách hàng khác,28.196.255.386,27.456.620.604,28196255386.0,27456620604.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,124.249.580.029,27.456.620.604,124249580029.0,27456620604.0
Dự phòng phải thu khách hàng ngắn hạn khó đòi,Dự phòng phải thu khách hàng ngắn hạn khó đòi,Dự phòng phải thu khách hàng ngắn hạn khó đòi,(6.833.980.650),(6.833.980.650),-6833980650.0,-6833980650.0
