row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8)
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tạm ứng,3.489.211.820,3.489.211.820,,3489211820.0,3489211820.0
Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Phải thu khác liên quan tới thủ tục góp vốn vào Công ty (*),-,5.628.209.000.000,,,5628209000000.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Phải thu khác,927.330.000,602.330.000,,927330000.0,602330000.0
,,,,4.416.541.820,5.632.300.541.820,,4416541820.0,5632300541820.0
Chi phí phải trả ngắn hạn (Thuyết minh số 19),Chi phí phải trả ngắn hạn (Thuyết minh số 19),Chi phí phải trả ngắn hạn (Thuyết minh số 19),Chi phí phải trả ngắn hạn (Thuyết minh số 19),Chi phí phải trả ngắn hạn (Thuyết minh số 19),Chi phí phải trả ngắn hạn (Thuyết minh số 19),,,
Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Chi phí phải trả ngắn hạn (Thuyết minh số 19) > Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Lãi vay phải trả,13.704.657.534,8.516.712.329,,13704657534.0,8516712329.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Chi phí phải trả ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Lãi vay phải trả,-,109.314.812.860,,,109314812860.0
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Chi phí phải trả ngắn hạn (Thuyết minh số 19) > Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Lãi vay phải trả,-,43.412.876.703,,,43412876703.0
Các bên liên quan khác,Chi phí phải trả ngắn hạn (Thuyết minh số 19) > Các bên liên quan khác,Các bên liên quan khác,Lãi vay phải trả,1.920.821.918,553.879.723,,1920821918.0,553879723.0
,,,,15.625.479.452,161.798.281.615,,15625479452.0,161798281615.0
Chi phí phải trả dài hạn (Thuyết minh số 19),Chi phí phải trả dài hạn (Thuyết minh số 19),Chi phí phải trả dài hạn (Thuyết minh số 19),Chi phí phải trả dài hạn (Thuyết minh số 19),Chi phí phải trả dài hạn (Thuyết minh số 19),Chi phí phải trả dài hạn (Thuyết minh số 19),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Chi phí phải trả dài hạn (Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Lãi vay phải trả,384.146.610.104,130.144.682.254,,384146610104.0,130144682254.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Chi phí phải trả dài hạn (Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Lãi vay phải trả,137.082.072.656,26.497.819.628,,137082072656.0,26497819628.0
Các bên liên quan khác,Chi phí phải trả dài hạn (Thuyết minh số 19) > Các bên liên quan khác,Các bên liên quan khác,Lãi vay phải trả,19.311.347.217,1.920.821.918,,19311347217.0,1920821918.0
,,,,540.540.029.977,158.563.323.800,,540540029977.0,158563323800.0
Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Phải trả ngắn hạn khác (Thuyết minh số 20) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Phải trả khác,858.000.000,858.000.000,,858000000.0,858000000.0
,,,,858.000.000,858.000.000,,858000000.0,858000000.0
