row_label_raw,row_label_full,21. VAY (tiếp theo),21. VAY (tiếp theo)_1,21. VAY (tiếp theo)_2,21. VAY (tiếp theo)_3,21. VAY (tiếp theo)_4,numeric__21. VAY (tiếp theo)_1,numeric__21. VAY (tiếp theo)_2,numeric__21. VAY (tiếp theo)_3,numeric__21. VAY (tiếp theo)_4
21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,21.1 Vay ngắn hạn ngân hàng,,,,
Chi tiết các khoản vay ngắn hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay ngắn hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Số cuối năm(VND),Lãi suất,Ngày đáo hạn,Tài sản đảm bảo,,,,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Khu Công nghiệp Quế Võ,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Khu Công nghiệp Quế Võ,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Khu Công nghiệp Quế Võ,49.941.449.473,"7,3%/năm",Ngày trả nợ cuối cùng là ngày 28 tháng 3 năm 2025. Gốc vay trả trong 3 hoặc 6 tháng sau ngày giải ngân theo từng khế ước.,"Toàn bộ các công trình hạ tầng KCN tại KCN Quế Võ, KCN Quế Võ mở rộng, KCN Nam Sơn - Hạp Lĩnh giai đoạn 1 và các quyền, lợi ích gắn liền hoặc phát sinh khác phát sinh từ các Hợp đồng cung cấp nước sạch, Hợp đồng xử lý nước thải, Hợp đồng sử dụng cơ sở hạ tầng tại KCN Quế Võ, KCN Quế Võ mở rộng.",49941449473.0,,,
TỔNG CỘNG,Ngân hàng > TỔNG CỘNG,TỔNG CỘNG,49.941.449.473,,,,49941449473.0,,,
21.2 Vay ngân hàng dài hạn,21.2 Vay ngân hàng dài hạn,21.2 Vay ngân hàng dài hạn,21.2 Vay ngân hàng dài hạn,21.2 Vay ngân hàng dài hạn,21.2 Vay ngân hàng dài hạn,21.2 Vay ngân hàng dài hạn,,,,
Chi tiết các khoản vay dài hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,Chi tiết các khoản vay dài hạn từ ngân hàng tại ngày 31 tháng 12 năm 2024 được trình bày như sau:,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Số cuối năm(VND),Lãi suất,Ngày đáo hạn,Tài sản đảm bảo,,,,
Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng > Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,1.000.000.000.000,"10,5%/năm",Ngày trả nợ cuối cùng là ngày 17 tháng 6 năm 2028. Gốc vay trả 6 tháng một lần kể từ tháng 12 năm 2025.,Một số cổ phiếu của Công ty thuộc sở hữu bởi Chủ tịch HĐQT và một số cổ phiếu của một công ty con thuộc sở hữu của Công ty.,1000000000000.0,,,
