row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Quế Võ,Số cuối năm (VND) > 99.095.765.531 > 16.840.815.856,Lãi suất > 10%/năm,Ngày đáo hạn > Ngày trả nợ cuối cùng là ngày 29 tháng 1 năm 2029.Gốc vay trả 6 tháng một lần. > Ngày trả nợ cuối cùng là ngày 30 tháng 7 năm 2026.Gốc vay trả 3 tháng một lần.,"Tài sản đảm bảo > Toàn bộ tài sản gắn liền với đất, các tài sản là động sản hình thành (bao gồm nhưng không giới hạn các máy móc, trang thiết bị, dụng cụ, ...), các chi phí đến bù, bồi thường, giải phóng mặt bằng, san nền, các chi phi khác đã thanh toán; toàn bộ các quyền, lợi ích gắn liền hoặc phát sinh từ giai đoạn 2 của Dư án đầu tư xây dựng và kinh doanh phát triển hạ tầng kỹ thuật khu công nghiệp Nam Sơn – Hạp Lĩnh. > Toàn bộ máy móc thiết bị, công cụ dụng cụ, động sản, phương tiện vận tải và máy móc thiết bị khác hình thành trong tương lai phục vụ cho dự án Nhà máy xử lý nước sạch công suất 19.000m3 tại khu Nam Sơn Hạp Lĩnh, tỉnh Bắc Ninh và toàn bộ lợi tức, các khoản phải thu được từ việc kinh doanh, khai thác giá trị quyền sử dụng đất, tài sản... gắn liền với đất hoặc từ việc đầu tư kinh doanh, khai thác, quản phí, phát triển dự án Nhà máy xử lý nước sạch công suất 19.000m3.",numeric__Số cuối năm (VND) > 99.095.765.531 > 16.840.815.856,numeric__Lãi suất > 10%/năm,numeric__Ngày đáo hạn > Ngày trả nợ cuối cùng là ngày 29 tháng 1 năm 2029.Gốc vay trả 6 tháng một lần. > Ngày trả nợ cuối cùng là ngày 30 tháng 7 năm 2026.Gốc vay trả 3 tháng một lần.,"numeric__Tài sản đảm bảo > Toàn bộ tài sản gắn liền với đất, các tài sản là động sản hình thành (bao gồm nhưng không giới hạn các máy móc, trang thiết bị, dụng cụ, ...), các chi phí đến bù, bồi thường, giải phóng mặt bằng, san nền, các chi phi khác đã thanh toán; toàn bộ các quyền, lợi ích gắn liền hoặc phát sinh từ giai đoạn 2 của Dư án đầu tư xây dựng và kinh doanh phát triển hạ tầng kỹ thuật khu công nghiệp Nam Sơn – Hạp Lĩnh. > Toàn bộ máy móc thiết bị, công cụ dụng cụ, động sản, phương tiện vận tải và máy móc thiết bị khác hình thành trong tương lai phục vụ cho dự án Nhà máy xử lý nước sạch công suất 19.000m3 tại khu Nam Sơn Hạp Lĩnh, tỉnh Bắc Ninh và toàn bộ lợi tức, các khoản phải thu được từ việc kinh doanh, khai thác giá trị quyền sử dụng đất, tài sản... gắn liền với đất hoặc từ việc đầu tư kinh doanh, khai thác, quản phí, phát triển dự án Nhà máy xử lý nước sạch công suất 19.000m3."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.115.936.581.387,,,,1115936581387.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,110.000.000.000,,,,110000000000.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,1.005.936.581.387,,,,1005936581387.0,,,
