row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc (bao gồm chi phí phát triển đất và cơ sở hạ tầng)","Máy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc (bao gồm chi phí phát triển đất và cơ sở hạ tầng)","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,274.014.509.536,9.091.787.612,80.013.087.746,29.872.749.810,788.381.818,393.780.516.522,274014509536.0,9091787612.0,80013087746.0,29872749810.0,788381818.0,393780516522.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,143.661.482,-,-,-,-,143.661.482,143661482.0,,,,,143661482.0
- Mua mới trong năm,Nguyên giá: > - Mua mới trong năm,- Mua mới trong năm,-,-,2.546.296.296,-,-,2.546.296.296,,,2546296296.0,,,2546296296.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,274.158.171.018,9.091.787.612,82.559.384.042,29.872.749.810,788.381.818,396.470.474.300,274158171018.0,9091787612.0,82559384042.0,29872749810.0,788381818.0,396470474300.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,90.238.369.949,5.177.115.945,23.756.261.349,6.452.242.101,788.381.818,126.412.371.162,90238369949.0,5177115945.0,23756261349.0,6452242101.0,788381818.0,126412371162.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,156.415.874.564,6.344.215.177,34.451.675.265,17.289.052.194,788.381.818,215.289.199.018,156415874564.0,6344215177.0,34451675265.0,17289052194.0,788381818.0,215289199018.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,15.467.120.162,514.791.231,6.520.151.861,2.927.563.472,-,25.429.626.726,15467120162.0,514791231.0,6520151861.0,2927563472.0,,25429626726.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,171.882.994.726,6.859.006.408,40.971.827.126,20.216.615.666,788.381.818,240.718.825.744,171882994726.0,6859006408.0,40971827126.0,20216615666.0,788381818.0,240718825744.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,117.598.634.972,2.747.572.435,45.561.412.481,12.583.697.616,-,178.491.317.504,117598634972.0,2747572435.0,45561412481.0,12583697616.0,,178491317504.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,102.275.176.292,2.232.781.204,41.587.556.916,9.656.134.144,-,155.751.648.556,102275176292.0,2232781204.0,41587556916.0,9656134144.0,,155751648556.0
