row_label_raw,row_label_full,Tên,Chức vụ,Năm nay,Năm nay_1,Năm nay_2,Năm nay_3,Năm trước,Năm trước_1,Năm trước_2,Năm trước_3,numeric__Chức vụ,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm nay_2,numeric__Năm nay_3,numeric__Năm trước,numeric__Năm trước_1,numeric__Năm trước_2,numeric__Năm trước_3
Tên,Tên,Tên,Chức vụ,Thù lao của Hội đồng Quản trị và Ban Kiểm soát,"Tổng thu nhập thực nhận của Ban Tổng Giám đốc, người quản lý khác và Trường ban kiểm soát",Tổng thuế thu nhập cá nhân phải nộp,Tổng cộng,Thù lao của Hội đồng Quản trị và Ban Kiểm soát,"Tổng thu nhập thực nhận của Ban Tổng Giám đốc, người quản lý khác và Trường ban kiểm soát",Tổng thuế thu nhập cá nhân phải nộp,Tổng cộng,,,,,,,,,
Đặng Thành Tâm,Đặng Thành Tâm,Đặng Thành Tâm,Chủ tịch Hội đồng Quản trị,-,-,-,-,-,-,-,-,,,,,,,,,
Nguyễn Thị Thu Hương,Đặng Thành Tâm > Nguyễn Thị Thu Hương,Nguyễn Thị Thu Hương,"Thành viên Hội đồng Quản trị, Tổng Giám đốc",100.000.000,6.253.501.000,3.111.331.308,9.464.832.308,100.000.000,11.124.792.000,5.734.334.154,16.959.126.154,,100000000.0,6253501000.0,3111331308.0,9464832308.0,100000000.0,11124792000.0,5734334154.0,16959126154.0
Huỳnh Phát,Đặng Thành Tâm > Huỳnh Phát,Huỳnh Phát,Thành viên Hội đồng Quản trị,100.000.000,-,11.111.111,111.111.111,100.000.000,-,11.111.111,111.111.111,,100000000.0,,11111111.0,111111111.0,100000000.0,,11111111.0,111111111.0
Lê Hoàng Lân,Đặng Thành Tâm > Lê Hoàng Lân,Lê Hoàng Lân,Thành viên Hội đồng Quản trị độc lập,340.000.000,-,85.000.000,425.000.000,100.000.000,-,11.111.111,111.111.111,,340000000.0,,85000000.0,425000000.0,100000000.0,,11111111.0,111111111.0
Đặng Nguyễn Quỳnh Anh,Đặng Thành Tâm > Đặng Nguyễn Quỳnh Anh,Đặng Nguyễn Quỳnh Anh,Thành viên Hội đồng Quản trị,100.000.000,-,11.111.111,111.111.111,100.000.000,-,11.111.111,111.111.111,,100000000.0,,11111111.0,111111111.0,100000000.0,,11111111.0,111111111.0
Phạm Phúc Hiếu,Đặng Thành Tâm > Phạm Phúc Hiếu,Phạm Phúc Hiếu,"Phó Tổng Giám đốc, Kế toán trưởng",-,3.203.501.000,1.472.039.000,4.675.540.000,-,4.179.284.000,1.997.460.615,6.176.744.615,,,3203501000.0,1472039000.0,4675540000.0,,4179284000.0,1997460615.0,6176744615.0
Nguyễn Mỹ Ngọc,Đặng Thành Tâm > Nguyễn Mỹ Ngọc,Nguyễn Mỹ Ngọc,Phó Tổng Giám đốc,-,1.460.833.000,533.679.308,1.994.512.308,-,2.736.242.000,1.220.438.000,3.956.680.000,,,1460833000.0,533679308.0,1994512308.0,,2736242000.0,1220438000.0,3956680000.0
Phan Anh Dũng,Đặng Thành Tâm > Phan Anh Dũng,Phan Anh Dũng,Phó Tổng Giám đốc,-,474.880.000,62.293.333,537.173.333,-,87.500.000,-,87.500.000,,,474880000.0,62293333.0,537173333.0,,87500000.0,,87500000.0
Nguyễn Bích Ngọc,Đặng Thành Tâm > Nguyễn Bích Ngọc,Nguyễn Bích Ngọc,Trường Ban Kiểm soát,50.000.000,203.001.000,10.764.882,263.765.882,50.000.000,234.056.000,16.245.176,300.301.176,,50000000.0,203001000.0,10764882.0,263765882.0,50000000.0,234056000.0,16245176.0,300301176.0
Thế Thị Minh Hồng,Đặng Thành Tâm > Thế Thị Minh Hồng,Thế Thị Minh Hồng,Thành viên Ban Kiểm soát,50.000.000,-,5.555.556,55.555.556,50.000.000,-,5.555.556,55.555.556,,50000000.0,,5555556.0,55555556.0,50000000.0,,5555556.0,55555556.0
Trần Tiến Thành,Đặng Thành Tâm > Trần Tiến Thành,Trần Tiến Thành,Thành viên Ban Kiểm soát,50.000.000,-,5.555.556,55.555.556,50.000.000,-,5.555.556,55.555.556,,50000000.0,,5555556.0,55555556.0,50000000.0,,5555556.0,55555556.0
TỔNG CỘNG,Đặng Thành Tâm > TỔNG CỘNG,TỔNG CỘNG,,790.000.000,11.595.716.000,5.308.441.165,17.694.157.165,550.000.000,18.361.874.000,9.012.922.390,27.924.796.390,,790000000.0,11595716000.0,5308441165.0,17694157165.0,550000000.0,18361874000.0,9012922390.0,27924796390.0
