row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích (%),Tỷ lệ lợi ích (%)_1,Tỷ lệ biểu quyết (%),Tỷ lệ biểu quyết (%)_1,Thông tin công ty,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ lợi ích (%)_1,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ biểu quyết (%)_1,numeric__Thông tin công ty
Tên công ty,Tên công ty,Tên công ty,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,Thông tin công ty,,,,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Tên công ty > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,"21,48%","21,48%","21,48%","21,48%",(i),0.2148,0.2148,0.2148,0.2148,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Tên công ty > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,"35,49%","35,49%",45%,45%,(ii),0.3549,0.3549,0.45,0.45,
Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Tên công ty > Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,"48,00%","48,00%","48,00%","48,00%",(iii),0.48,0.48,0.48,0.48,
Công ty Cổ phần Scanviwood,Tên công ty > Công ty Cổ phần Scanviwood,Công ty Cổ phần Scanviwood,34%,34%,34%,34%,(iv),0.34,0.34,0.34,0.34,
(i) Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,(i) Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,(i) Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,(i) Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,(i) Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,(i) Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,(i) Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,(i) Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,,,,,
"Công ty Cổ phần Công nghệ Viễn thông Sài Gòn được thành lập theo Giấy chứng nhận Đăng ký Kinh doanh số 0302615063 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp, với mức vốn điều lệ là 1.480 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là bán buôn máy vi tính, thiết bị và lĩnh kiện điện tử, viễn thông; mua bán, lắp đặt thiết bị truyền dẫn, đầu nối, thiết bị bảo vệ phục vụ ngành thông tin; tư vấn ký thuật ngành tin học; thiết kế lắp đặt hệ thống máy tính; xây dựng và kinh doanh cơ sở hạ tầng khu công nghiệp, cho thuê kho bãi, nhà xưởng.","Công ty Cổ phần Công nghệ Viễn thông Sài Gòn được thành lập theo Giấy chứng nhận Đăng ký Kinh doanh số 0302615063 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp, với mức vốn điều lệ là 1.480 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là bán buôn máy vi tính, thiết bị và lĩnh kiện điện tử, viễn thông; mua bán, lắp đặt thiết bị truyền dẫn, đầu nối, thiết bị bảo vệ phục vụ ngành thông tin; tư vấn ký thuật ngành tin học; thiết kế lắp đặt hệ thống máy tính; xây dựng và kinh doanh cơ sở hạ tầng khu công nghiệp, cho thuê kho bãi, nhà xưởng.","Công ty Cổ phần Công nghệ Viễn thông Sài Gòn được thành lập theo Giấy chứng nhận Đăng ký Kinh doanh số 0302615063 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp, với mức vốn điều lệ là 1.480 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là bán buôn máy vi tính, thiết bị và lĩnh kiện điện tử, viễn thông; mua bán, lắp đặt thiết bị truyền dẫn, đầu nối, thiết bị bảo vệ phục vụ ngành thông tin; tư vấn ký thuật ngành tin học; thiết kế lắp đặt hệ thống máy tính; xây dựng và kinh doanh cơ sở hạ tầng khu công nghiệp, cho thuê kho bãi, nhà xưởng.","Công ty Cổ phần Công nghệ Viễn thông Sài Gòn được thành lập theo Giấy chứng nhận Đăng ký Kinh doanh số 0302615063 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp, với mức vốn điều lệ là 1.480 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là bán buôn máy vi tính, thiết bị và lĩnh kiện điện tử, viễn thông; mua bán, lắp đặt thiết bị truyền dẫn, đầu nối, thiết bị bảo vệ phục vụ ngành thông tin; tư vấn ký thuật ngành tin học; thiết kế lắp đặt hệ thống máy tính; xây dựng và kinh doanh cơ sở hạ tầng khu công nghiệp, cho thuê kho bãi, nhà xưởng.","Công ty Cổ phần Công nghệ Viễn thông Sài Gòn được thành lập theo Giấy chứng nhận Đăng ký Kinh doanh số 0302615063 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp, với mức vốn điều lệ là 1.480 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là bán buôn máy vi tính, thiết bị và lĩnh kiện điện tử, viễn thông; mua bán, lắp đặt thiết bị truyền dẫn, đầu nối, thiết bị bảo vệ phục vụ ngành thông tin; tư vấn ký thuật ngành tin học; thiết kế lắp đặt hệ thống máy tính; xây dựng và kinh doanh cơ sở hạ tầng khu công nghiệp, cho thuê kho bãi, nhà xưởng.","Công ty Cổ phần Công nghệ Viễn thông Sài Gòn được thành lập theo Giấy chứng nhận Đăng ký Kinh doanh số 0302615063 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp, với mức vốn điều lệ là 1.480 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là bán buôn máy vi tính, thiết bị và lĩnh kiện điện tử, viễn thông; mua bán, lắp đặt thiết bị truyền dẫn, đầu nối, thiết bị bảo vệ phục vụ ngành thông tin; tư vấn ký thuật ngành tin học; thiết kế lắp đặt hệ thống máy tính; xây dựng và kinh doanh cơ sở hạ tầng khu công nghiệp, cho thuê kho bãi, nhà xưởng.","Công ty Cổ phần Công nghệ Viễn thông Sài Gòn được thành lập theo Giấy chứng nhận Đăng ký Kinh doanh số 0302615063 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp, với mức vốn điều lệ là 1.480 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là bán buôn máy vi tính, thiết bị và lĩnh kiện điện tử, viễn thông; mua bán, lắp đặt thiết bị truyền dẫn, đầu nối, thiết bị bảo vệ phục vụ ngành thông tin; tư vấn ký thuật ngành tin học; thiết kế lắp đặt hệ thống máy tính; xây dựng và kinh doanh cơ sở hạ tầng khu công nghiệp, cho thuê kho bãi, nhà xưởng.","Công ty Cổ phần Công nghệ Viễn thông Sài Gòn được thành lập theo Giấy chứng nhận Đăng ký Kinh doanh số 0302615063 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp, với mức vốn điều lệ là 1.480 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là bán buôn máy vi tính, thiết bị và lĩnh kiện điện tử, viễn thông; mua bán, lắp đặt thiết bị truyền dẫn, đầu nối, thiết bị bảo vệ phục vụ ngành thông tin; tư vấn ký thuật ngành tin học; thiết kế lắp đặt hệ thống máy tính; xây dựng và kinh doanh cơ sở hạ tầng khu công nghiệp, cho thuê kho bãi, nhà xưởng.",,,,,
"Công ty này có trụ sở tại Lô 46, công viên Phần mềm Quang Trung, phường Tân Chánh Hiệp, quận 12, thành phố Hồ Chí Minh, Việt Nam.","Công ty này có trụ sở tại Lô 46, công viên Phần mềm Quang Trung, phường Tân Chánh Hiệp, quận 12, thành phố Hồ Chí Minh, Việt Nam.","Công ty này có trụ sở tại Lô 46, công viên Phần mềm Quang Trung, phường Tân Chánh Hiệp, quận 12, thành phố Hồ Chí Minh, Việt Nam.","Công ty này có trụ sở tại Lô 46, công viên Phần mềm Quang Trung, phường Tân Chánh Hiệp, quận 12, thành phố Hồ Chí Minh, Việt Nam.","Công ty này có trụ sở tại Lô 46, công viên Phần mềm Quang Trung, phường Tân Chánh Hiệp, quận 12, thành phố Hồ Chí Minh, Việt Nam.","Công ty này có trụ sở tại Lô 46, công viên Phần mềm Quang Trung, phường Tân Chánh Hiệp, quận 12, thành phố Hồ Chí Minh, Việt Nam.","Công ty này có trụ sở tại Lô 46, công viên Phần mềm Quang Trung, phường Tân Chánh Hiệp, quận 12, thành phố Hồ Chí Minh, Việt Nam.","Công ty này có trụ sở tại Lô 46, công viên Phần mềm Quang Trung, phường Tân Chánh Hiệp, quận 12, thành phố Hồ Chí Minh, Việt Nam.",,,,,
(ii) Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,(ii) Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,(ii) Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,(ii) Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,(ii) Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,(ii) Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,(ii) Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,(ii) Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,,,,,
"Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội được đăng ký thành lập và hoạt động theo Giấy Chứng nhận Đăng ký Kinh doanh số 4100579765 do Sở Kế hoạch và Đầu tư tính Bình Định cấp, với mức vốn điều lệ là 1.200 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là kinh doanh bất động sản, cơ sở hạ tầng khu công nghiệp, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.","Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội được đăng ký thành lập và hoạt động theo Giấy Chứng nhận Đăng ký Kinh doanh số 4100579765 do Sở Kế hoạch và Đầu tư tính Bình Định cấp, với mức vốn điều lệ là 1.200 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là kinh doanh bất động sản, cơ sở hạ tầng khu công nghiệp, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.","Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội được đăng ký thành lập và hoạt động theo Giấy Chứng nhận Đăng ký Kinh doanh số 4100579765 do Sở Kế hoạch và Đầu tư tính Bình Định cấp, với mức vốn điều lệ là 1.200 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là kinh doanh bất động sản, cơ sở hạ tầng khu công nghiệp, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.","Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội được đăng ký thành lập và hoạt động theo Giấy Chứng nhận Đăng ký Kinh doanh số 4100579765 do Sở Kế hoạch và Đầu tư tính Bình Định cấp, với mức vốn điều lệ là 1.200 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là kinh doanh bất động sản, cơ sở hạ tầng khu công nghiệp, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.","Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội được đăng ký thành lập và hoạt động theo Giấy Chứng nhận Đăng ký Kinh doanh số 4100579765 do Sở Kế hoạch và Đầu tư tính Bình Định cấp, với mức vốn điều lệ là 1.200 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là kinh doanh bất động sản, cơ sở hạ tầng khu công nghiệp, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.","Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội được đăng ký thành lập và hoạt động theo Giấy Chứng nhận Đăng ký Kinh doanh số 4100579765 do Sở Kế hoạch và Đầu tư tính Bình Định cấp, với mức vốn điều lệ là 1.200 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là kinh doanh bất động sản, cơ sở hạ tầng khu công nghiệp, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.","Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội được đăng ký thành lập và hoạt động theo Giấy Chứng nhận Đăng ký Kinh doanh số 4100579765 do Sở Kế hoạch và Đầu tư tính Bình Định cấp, với mức vốn điều lệ là 1.200 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là kinh doanh bất động sản, cơ sở hạ tầng khu công nghiệp, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.","Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội được đăng ký thành lập và hoạt động theo Giấy Chứng nhận Đăng ký Kinh doanh số 4100579765 do Sở Kế hoạch và Đầu tư tính Bình Định cấp, với mức vốn điều lệ là 1.200 tỷ VND. Hoạt động chính theo Giấy Chứng nhận Đăng ký Kinh doanh của công ty này là kinh doanh bất động sản, cơ sở hạ tầng khu công nghiệp, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.",,,,,
