row_label_raw,row_label_full,Bên liên quan,Số cuối năm (VND),Ngày đáo hạn,Lãi vay (%/năm),Tài sản đảm bảo,numeric__Số cuối năm (VND),numeric__Ngày đáo hạn,numeric__Lãi vay (%/năm),numeric__Tài sản đảm bảo
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Vay ngắn hạn > Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,Công ty TNHH Phát triển Cơ sở Hạ tầng Công nghiệp Tân Tập,60.000.000.000,29 tháng 11 năm 2025,6%,Tín chấp,60000000000.0,,0.06,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,60.000.000.000,,,,60000000000.0,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Vay dài hạn > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,4.115.472.636.364,Đáo hạn lần cuối cùng vào ngày 25 tháng 10 năm 2026,"6,1-9%",Tín chấp,4115472636364.0,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Vay dài hạn > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,1.346.154.812.985,Đáo hạn lần cuối cùng vào vào ngày 25 tháng 10 năm 2026,"6,1%",Tín chấp,1346154812985.0,,0.061,
Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Vay dài hạn > Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,887.904.109.589,Đáo hạn lần cuối cùng vào vào ngày 19 tháng 12 năm 2029,"5,5-11%",Tín chấp,887904109589.0,,,
Công ty Cổ phần Phát triển Đô thị Sài Gòn Tây Bắc,Vay dài hạn > Công ty Cổ phần Phát triển Đô thị Sài Gòn Tây Bắc,Công ty Cổ phần Phát triển Đô thị Sài Gòn Tây Bắc,89.500.000.000,Đáo hạn lần cuối cùng vào vào ngày 1 tháng 2 năm 2026,8%,Tín chấp,89500000000.0,,0.08,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Vay dài hạn > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,30.000.000.000,Ngày 31 tháng 12 năm 2029,"0,12%",Tín chấp,30000000000.0,,0.0012,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,6.469.031.558.938,,,,6469031558938.0,,,
