row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu các bên khác,Phải thu các bên khác,Phải thu các bên khác,Phải thu các bên khác,Phải thu các bên khác,Phải thu các bên khác,Phải thu các bên khác,,,,
Tạm ứng cho nhân viên (i),Phải thu các bên khác > Tạm ứng cho nhân viên (i),Tạm ứng cho nhân viên (i),56.804.382.013,-,48.266.899.234,-,56804382013.0,,48266899234.0,
- Ông Phan Minh Toàn Thư,Phải thu các bên khác > - Ông Phan Minh Toàn Thư,- Ông Phan Minh Toàn Thư,17.106.527.000,-,16.016.527.000,-,17106527000.0,,16016527000.0,
- Các đối tượng khác,Phải thu các bên khác > - Các đối tượng khác,- Các đối tượng khác,39.697.855.013,-,32.250.372.234,-,39697855013.0,,32250372234.0,
"Phải thu tiền đặt cọc, ký quỹ","Phải thu các bên khác > Phải thu tiền đặt cọc, ký quỹ","Phải thu tiền đặt cọc, ký quỹ",13.051.128.404,-,13.051.128.404,-,13051128404.0,,13051128404.0,
UBND tính Bắc Ninh (ii),Phải thu các bên khác > UBND tính Bắc Ninh (ii),UBND tính Bắc Ninh (ii),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu khác (iv),Phải thu các bên khác > Phải thu khác (iv),Phải thu khác (iv),24.892.962.286,-,48.031.288.323,-,24892962286.0,,48031288323.0,
Phải thu khác từ các bên liên quan (Thuyết minh số 30),Phải thu các bên khác > Phải thu khác từ các bên liên quan (Thuyết minh số 30),Phải thu khác từ các bên liên quan (Thuyết minh số 30),4.416.541.820,-,5.632.300.541.820,-,4416541820.0,,5632300541820.0,
TỔNG CỘNG,Phải thu các bên khác > TỔNG CỘNG,TỔNG CỘNG,118.605.014.523,-,5.761.089.857.781,-,118605014523.0,,5761089857781.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Phải thu theo hợp đồng hợp tác đầu tư với Công ty Cổ phần Đầu tư Láng Hạ (iii),Dài hạn > Phải thu theo hợp đồng hợp tác đầu tư với Công ty Cổ phần Đầu tư Láng Hạ (iii),Phải thu theo hợp đồng hợp tác đầu tư với Công ty Cổ phần Đầu tư Láng Hạ (iii),412.407.864.125,-,394.419.327.038,-,412407864125.0,,394419327038.0,
Phải thu khác,Dài hạn > Phải thu khác,Phải thu khác,16.032.532.427,-,820.231.500,-,16032532427.0,,820231500.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,428.440.396.552,-,395.239.558.538,-,428440396552.0,,395239558538.0,
