row_label_raw,row_label_full,Năm trước,Nội địa,Nước ngoài,Tổng công,numeric__Nội địa,numeric__Nước ngoài,numeric__Tổng công
,,,VND,VND,VND,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,5.949.062.544.735,740.265.992.041,6.689.328.536.776,5949062544735.0,740265992041.0,6689328536776.0
Giá vốn hàng bản và cung cấp dịch vụ,Giá vốn hàng bản và cung cấp dịch vụ,Giá vốn hàng bản và cung cấp dịch vụ,(4.880.006.365.216),(372.264.129.014),(5.252.270.494.230),-4880006365216.0,-372264129014.0,-5252270494230.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,1.069.056.179.519,368.001.863.027,1.437.058.042.546,1069056179519.0,368001863027.0,1437058042546.0
Chỉ phí hoạt động chung,Chỉ phí hoạt động chung,Chỉ phí hoạt động chung,,,(656.218.058.685),,,-656218058685.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,176.153.015.449,,,176153015449.0
Chỉ phí tài chính,Chỉ phí tài chính,Chỉ phí tài chính,,,(260.130.153.544),,,-260130153544.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,14.253.913.513,,,14253913513.0
Chỉ phí khác,Chỉ phí khác,Chỉ phí khác,,,(4.918.116.503),,,-4918116503.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,706.198.642.776,,,706198642776.0
Chỉ phí thuế thu nhập doanh nghiệp hiện hành,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,,,(45.721.096.790),,,-45721096790.0
Chỉ phí thuế thu nhập doanh nghiệp hoãn lại,Chỉ phí thuế thu nhập doanh nghiệp hoãn lại,Chỉ phí thuế thu nhập doanh nghiệp hoãn lại,,,(1.418.130.142),,,-1418130142.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,659.059.415.844,,,659059415844.0
