row_label_raw,row_label_full,col_0,Vốn góp của chú sở hữu VND,Vốn khác của chú sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chú sở hữu VND,numeric__Vốn khác của chú sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.294.000.000.000,-,238.735.534.003,594.403.715.402,26.382.773.716,6.153.522.023.121,5294000000000.0,,238735534003.0,594403715402.0,26382773716.0,6153522023121.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,656.144.950.729,2.914.465.115,659.059.415.844,,,,656144950729.0,2914465115.0,659059415844.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,-,78.997.726.742,(78.997.726.742),-,-,,,78997726742.0,-78997726742.0,,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,(66.549.652.140),(699.535.926),(67.249.188.066),,,,-66549652140.0,-699535926.0,-67249188066.0
Tăng vốn từ Lợi nhuận sau thuế chưa phân phối,Tăng vốn từ Lợi nhuận sau thuế chưa phân phối,Tăng vốn từ Lợi nhuận sau thuế chưa phân phối,-,2.499.150.000,-,(2.499.150.000),-,-,,2499150000.0,,-2499150000.0,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(476.460.000.000),-,(476.460.000.000),,,,-476460000000.0,,-476460000000.0
Tăng/(Giảm) khác,Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,-,3.061,26.291,(29.352),-,,,3061.0,26291.0,-29352.0,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,2.499.150.000,317.733.263.806,626.042.163.540,28.597.673.553,6.268.872.250.899,5294000000000.0,2499150000.0,317733263806.0,626042163540.0,28597673553.0,6268872250899.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,426.175.229.390,1.548.499.702,427.723.729.092,,,,426175229390.0,1548499702.0,427723729092.0
Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,-,34.805.022.835,(34.805.022.835),-,-,,,34805022835.0,-34805022835.0,,
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,(110.940.623.480),(1.301.188.632),(112.241.812.112),,,,-110940623480.0,-1301188632.0,-112241812112.0
Tăng vốn từ Lợi nhuận sau thuế chưa phân phối,Tăng vốn từ Lợi nhuận sau thuế chưa phân phối,Tăng vốn từ Lợi nhuận sau thuế chưa phân phối,-,1.166.270.000,-,(1.166.270.000),-,-,,1166270000.0,,-1166270000.0,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(476.460.000.000),(1.566.917.800),(478.026.917.800),,,,-476460000000.0,-1566917800.0,-478026917800.0
Tăng/(Giảm) khác,Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,-,19.696,153.779,(173.475),-,,,19696.0,153779.0,-173475.0,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.294.000.000.000,3.665.420.000,352.538.306.337,428.845.630.394,27.277.893.348,6.106.327.250.079,5294000000000.0,3665420000.0,352538306337.0,428845630394.0,27277893348.0,6106327250079.0
