row_label_raw,row_label_full,Tập đoàn Dầu khí Việt Nam,Số cuối nămVND > 30.597.955.738,Số đầu nămVND > -,numeric__Số cuối nămVND > 30.597.955.738,numeric__Số đầu nămVND > -
Haldor Topsoe A/S,Haldor Topsoe A/S,Haldor Topsoe A/S,6.193.988.780,-,6193988780.0,
Công ty Cổ phần Thiết kế Công nghiệp Hóa chất,Công ty Cổ phần Thiết kế Công nghiệp Hóa chất,Công ty Cổ phần Thiết kế Công nghiệp Hóa chất,-,39.435.760.601,,39435760601.0
Công ty TNHH Thương mại Kỹ thuật Trì Việt,Công ty TNHH Thương mại Kỹ thuật Trì Việt,Công ty TNHH Thương mại Kỹ thuật Trì Việt,-,10.382.581.768,,10382581768.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,18.523.083.049,36.549.223.533,18523083049.0,36549223533.0
,,,55.315.027.567,86.367.565.902,55315027567.0,86367565902.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Trả trước cho các bên liên quan(Chỉ tiết tại Thuyết minh số 36),Trong đó: > Trả trước cho các bên liên quan(Chỉ tiết tại Thuyết minh số 36),Trả trước cho các bên liên quan(Chỉ tiết tại Thuyết minh số 36),32.407.080.788,1.089.288.913,32407080788.0,1089288913.0
