row_label_raw,row_label_full,Chỉ tiêu,Số liệu năm 2019,Số liệu năm 2018,Chênh lệch giữa năm 2019 so năm 2018 > Số tiền,Chênh lệch giữa năm 2019 so năm 2018 > %,Ghi chú,numeric__Số liệu năm 2019,numeric__Số liệu năm 2018,numeric__Chênh lệch giữa năm 2019 so năm 2018 > Số tiền,numeric__Chênh lệch giữa năm 2019 so năm 2018 > %,numeric__Ghi chú
(1),(1),(1),(2),(3),(4)=(2)-(3),(5)=(4)/(3),(6),-2.0,-3.0,,,-6.0
Báo cáo tài chính riêng,Báo cáo tài chính riêng,Báo cáo tài chính riêng,Báo cáo tài chính riêng,Báo cáo tài chính riêng,Báo cáo tài chính riêng,Báo cáo tài chính riêng,Báo cáo tài chính riêng,,,,,
Tổng lợi nhuận kế toán trước thuế,Báo cáo tài chính riêng > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,"460,37","696,88","-236,51","-33,94%",,460.37,696.88,-236.51,-0.3394,
Chi phí thuế TNDN,Báo cáo tài chính riêng > Chi phí thuế TNDN,Chi phí thuế TNDN,"39,83","44,65","-4,82","-10,79%",,39.83,44.65,-4.82,-0.1079,
Chi phí thuế TNDNHL,Báo cáo tài chính riêng > Chi phí thuế TNDNHL,Chi phí thuế TNDNHL,"-5,28","1,83","-7,11","-388,81%",,-5.28,1.83,-7.11,-3.8881,
Lợi nhuận sau thuế TNDN,Báo cáo tài chính riêng > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,"425,82","650,40","-224,58","-34,53%",,425.82,650.4,-224.58,-0.3453,
Báo cáo tài chính hợp nhất,Báo cáo tài chính hợp nhất,Báo cáo tài chính hợp nhất,Báo cáo tài chính hợp nhất,Báo cáo tài chính hợp nhất,Báo cáo tài chính hợp nhất,Báo cáo tài chính hợp nhất,Báo cáo tài chính hợp nhất,,,,,
Tổng lợi nhuận kế toán trước thuế,Báo cáo tài chính hợp nhất > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,"463,09","706,20","-243,11","-34,43%",,463.09,706.2,-243.11,-0.3443,
Chi phí thuế TNDN,Báo cáo tài chính hợp nhất > Chi phí thuế TNDN,Chi phí thuế TNDN,"41,02","45,72","-4,70","-10,29%",,41.02,45.72,-4.7,-0.10289999999999999,
Chi phí thuế TNDNHL,Báo cáo tài chính hợp nhất > Chi phí thuế TNDNHL,Chi phí thuế TNDNHL,"-5,65","1,42","-7,07","-498,64%",,-5.65,1.42,-7.07,-4.9864,
Lợi nhuận sau thuế TNDN,Báo cáo tài chính hợp nhất > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,"427,72","659,06","-231,34","-35,10%",,427.72,659.06,-231.34,-0.35100000000000003,
