row_label_raw,row_label_full,Năm nay,Nội địa > VND,Nước ngoài > VND,Tổng công > VND,numeric__Nội địa > VND,numeric__Nước ngoài > VND,numeric__Tổng công > VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,5.790.786.537.925,1.252.180.392.192,7.042.966.930.117,5790786537925.0,1252180392192.0,7042966930117.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(4.943.287.599.435),(1.140.487.133.832),(6.083.774.733.267),-4943287599435.0,-1140487133832.0,-6083774733267.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,847.498.938.490,111.693.258.360,959.192.196.850,847498938490.0,111693258360.0,959192196850.0
Chỉ phí hoạt động chung,Chỉ phí hoạt động chung,Chỉ phí hoạt động chung,,,(565.377.899.011),,,-565377899011.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,127.016.141.703,,,127016141703.0
Chỉ phí tài chính,Chỉ phí tài chính,Chỉ phí tài chính,,,(102.753.481.637),,,-102753481637.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,48.483.380.378,,,48483380378.0
Chỉ phí khác,Chỉ phí khác,Chỉ phí khác,,,(3.472.166.901),,,-3472166901.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,463.088.171.382,,,463088171382.0
Chỉ phí thuế thu nhập doanh nghiệp hiện hành,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,,,(41.017.685.327),,,-41017685327.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,5.653.243.037,,,5653243037.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,427.723.729.092,,,427723729092.0
