row_label_raw,row_label_full,Ông Văn Tiến Thanh,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Nguyễn Đức Hạnh,Ông Nguyễn Đức Hạnh,Ông Nguyễn Đức Hạnh,Phó Tổng Giám đốc,
Ông Lê Ngọc Minh Trí,Ông Lê Ngọc Minh Trí,Ông Lê Ngọc Minh Trí,Phó Tổng Giám đốc,
Ông Nguyễn Tuấn Anh,Ông Nguyễn Tuấn Anh,Ông Nguyễn Tuấn Anh,Phó Tổng Giám đốc,
Ông Phạm Văn Bắc,Ông Phạm Văn Bắc,Ông Phạm Văn Bắc,Phó Tổng Giám đốc,
Bà Nguyễn Thị Hiền,Bà Nguyễn Thị Hiền,Bà Nguyễn Thị Hiền,Phó Tổng Giám đốc (bổ nhiệm ngày 01 tháng 01 năm 2019),
