row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số Thuyết minh,Mã số Thuyết minh_1,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,25,7.176.575.481.550,6.827.333.782.705,,1.0,25.0,7176575481550.0,6827333782705.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,25,133.608.551.433,138.005.245.929,,2.0,25.0,133608551433.0,138005245929.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,7.042.966.930.117,6.689.328.536.776,,10.0,,7042966930117.0,6689328536776.0
4.,4.,4.,Giá vốn hàng bán,11,26,6.083.774.733.267,5.252.270.494.230,,11.0,26.0,6083774733267.0,5252270494230.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,959.192.196.850,1.437.058.042.546,,20.0,,959192196850.0,1437058042546.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,28,127.016.141.703,176.153.015.449,,21.0,28.0,127016141703.0,176153015449.0
7.,7.,7.,Chỉ phí tài chính,22,29,102.753.481.637,260.130.153.544,,22.0,29.0,102753481637.0,260130153544.0
,,,- Trong đó: Chi phí lãi vay,23,,87.172.530.234,142.052.771.852,,23.0,,87172530234.0,142052771852.0
8.,8.,8.,Chỉ phí bán hàng,25,30,364.058.697.253,336.114.695.573,,25.0,30.0,364058697253.0,336114695573.0
9.,9.,9.,Chỉ phí quản lý doanh nghiệp,26,30,201.319.201.758,320.103.363.112,,26.0,30.0,201319201758.0,320103363112.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,418.076.957.905,696.862.845.766,,30.0,,418076957905.0,696862845766.0
11.,11.,11.,Thu nhập khác,31,31,48.483.380.378,14.253.913.513,,31.0,31.0,48483380378.0,14253913513.0
12.,12.,12.,Chỉ phí khác,32,31,3.472.166.901,4.918.116.503,,32.0,31.0,3472166901.0,4918116503.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,31,45.011.213.477,9.335.797.010,,40.0,31.0,45011213477.0,9335797010.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,463.088.171.382,706.198.642.776,,50.0,,463088171382.0,706198642776.0
15.,15.,15.,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,32,41.017.685.327,45.721.096.790,,51.0,32.0,41017685327.0,45721096790.0
16.,16.,16.,(Thu nhập)/chỉ phí thuế thu nhập doanh nghiệp hoãn lại,52,,(5.653.243.037),1.418.130.142,,52.0,,-5653243037.0,1418130142.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,427.723.729.092,659.059.415.844,,60.0,,427723729092.0,659059415844.0
,,,Trong đó:,,,,,,,,,
17.1.,17.1.,17.1.,Lợi nhuận sau thuế của Công ty mẹ,61,,426.175.229.390,656.144.950.729,,61.0,,426175229390.0,656144950729.0
17.2.,17.2.,17.2.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,1.548.499.702,2.914.465.115,,62.0,,1548499702.0,2914465115.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,33,595,1.114,,70.0,33.0,595.0,1114.0
