row_label_raw,row_label_full,col_0,Nhà xuǒngvà vǎt kiěn trúc,Máy mócvà thiēt bị,Thiēt bịvǎn phòng,Phuǒng tiēn vāntài và thiēt bịtruyèn dǎn,Tài sàn cõ dinhhǔu hìn khác,Tóng,numeric__Nhà xuǒngvà vǎt kiěn trúc,numeric__Máy mócvà thiēt bị,numeric__Thiēt bịvǎn phòng,numeric__Phuǒng tiēn vāntài và thiēt bịtruyèn dǎn,numeric__Tài sàn cõ dinhhǔu hìn khác,numeric__Tóng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.401.259.611.649,10.451.544.057.950,72.833.316.285,67.799.159.789,59.369.973.815,14.052.806.119.488,3401259611649.0,10451544057950.0,72833316285.0,67799159789.0,59369973815.0,14052806119488.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,900.683.641,9.495.365.970,2.307.642.614,-,-,12.703.692.225,900683641.0,9495365970.0,2307642614.0,,,12703692225.0
Đầu tư xây dựng cơbản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơbản hoàn thành,Đầu tư xây dựng cơbản hoàn thành,113.497.663.653,23.680.125.605,-,-,-,137.177.789.258,113497663653.0,23680125605.0,,,,137177789258.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.515.657.958.943,10.484.719.549.525,75.140.958.899,67.799.159.789,59.369.973.815,14.202.687.600.971,3515657958943.0,10484719549525.0,75140958899.0,67799159789.0,59369973815.0,14202687600971.0
GIÁ TRÍ HAO MÒN LǚY KẾ,GIÁ TRÍ HAO MÒN LǚY KẾ,GIÁ TRÍ HAO MÒN LǚY KẾ,GIÁ TRÍ HAO MÒN LǚY KẾ,GIÁ TRÍ HAO MÒN LǚY KẾ,GIÁ TRÍ HAO MÒN LǚY KẾ,GIÁ TRÍ HAO MÒN LǚY KẾ,GIÁ TRÍ HAO MÒN LǚY KẾ,GIÁ TRÍ HAO MÒN LǚY KẾ,,,,,,
Số dư đầu năm,GIÁ TRÍ HAO MÒN LǚY KẾ > Số dư đầu năm,Số dư đầu năm,1.949.909.972.103,5.690.740.709.255,47.462.489.856,49.482.542.132,17.573.968.979,7.755.169.682.325,1949909972103.0,5690740709255.0,47462489856.0,49482542132.0,17573968979.0,7755169682325.0
Khấu hao trong năm,GIÁ TRÍ HAO MÒN LǚY KẾ > Khấu hao trong năm,Khấu hao trong năm,303.898.580.607,997.793.326.335,6.059.476.122,4.582.469.175,696.499.150,1.313.030.351.389,303898580607.0,997793326335.0,6059476122.0,4582469175.0,696499150.0,1313030351389.0
Số dư cuối năm,GIÁ TRÍ HAO MÒN LǚY KẾ > Số dư cuối năm,Số dư cuối năm,2.253.808.552.710,6.688.534.035.590,53.521.965.978,54.065.011.307,18.270.468.129,9.068.200.033.714,2253808552710.0,6688534035590.0,53521965978.0,54065011307.0,18270468129.0,9068200033714.0
GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,GIÁ TRÍ CÒN LẠI,,,,,,
