row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGÂN HẠN,100,,4.250.036.958.838,4.318.349.014.853,,100.0,,4250036958838.0,4318349014853.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,471.173.323.541,285.772.463.155,,110.0,4.0,471173323541.0,285772463155.0
1.,1.,1.,Tiền,111,,371.173.323.541,165.772.463.155,,111.0,,371173323541.0,165772463155.0
2.,2.,2.,Các khoản tương đương tiền,112,,100.000.000.000,120.000.000.000,,112.0,,100000000000.0,120000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,2.002.000.000.000,2.502.000.000.000,,120.0,5.0,2002000000000.0,2502000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,2.002.000.000.000,2.502.000.000.000,,123.0,,2002000000000.0,2502000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,401.909.734.436,452.949.978.578,,130.0,,401909734436.0,452949978578.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,2.926.400.156,17.543.502.062,,131.0,6.0,2926400156.0,17543502062.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,132,7,55.315.027.567,86.367.565.902,,132.0,7.0,55315027567.0,86367565902.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,343.752.902.807,349.038.910.614,,136.0,8.0,343752902807.0,349038910614.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,,(84.596.094),-,,137.0,,-84596094.0,
IV.,IV.,IV.,Hàng tồn kho,140,9,1.301.123.071.541,982.641.291.700,,140.0,9.0,1301123071541.0,982641291700.0
1.,1.,1.,Hàng tồn kho,141,,1.309.837.336.541,982.641.291.700,,141.0,,1309837336541.0,982641291700.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(8.714.265.000),-,,149.0,,-8714265000.0,
V.,V.,V.,Tài sản ngắn hạn khác,150,,73.830.829.320,94.985.281.420,,150.0,,73830829320.0,94985281420.0
1.,1.,1.,Chỉ phí trả trước ngắn hạn,151,10,48.533.063.400,58.790.608.193,,151.0,10.0,48533063400.0,58790608193.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,24.728.755.816,35.648.407.632,,152.0,,24728755816.0,35648407632.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,16,569.010.104,546.265.595,,153.0,16.0,569010104.0,546265595.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,5.922.557.793.908,6.712.237.373.179,,200.0,,5922557793908.0,6712237373179.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,3.000.000,3.000.000,,210.0,,3000000.0,3000000.0
1.,1.,1.,Phải thu dài hạn khác,216,8,3.000.000,3.000.000,,216.0,8.0,3000000.0,3000000.0
II.,II.,II.,Tài sản cố định,220,,5.187.636.244.618,6.336.415.442.150,,220.0,,5187636244618.0,6336415442150.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,5.134.487.567.257,6.297.636.437.163,,221.0,11.0,5134487567257.0,6297636437163.0
,,,- Nguyên giá,222,,14.202.687.600.971,14.052.806.119.488,,222.0,,14202687600971.0,14052806119488.0
,,,- Giá trị hao mòn lũy kế,223,,(9.068.200.033.714),(7.755.169.682.325),,223.0,,-9068200033714.0,-7755169682325.0
2.,2.,2.,Tài sản cố định vô hình,227,12,53.148.677.361,38.779.004.987,,227.0,12.0,53148677361.0,38779004987.0
,,,- Nguyên giá,228,,129.455.664.501,105.889.604.017,,228.0,,129455664501.0,105889604017.0
,,,- Giá trị hao mòn lũy kế,229,,(76.306.987.140),(67.110.599.030),,229.0,,-76306987140.0,-67110599030.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,698.506.086.885,346.374.351.728,,240.0,,698506086885.0,346374351728.0
1.,1.,1.,Chỉ phí xây dựng cơ bản dở dang,242,13,698.506.086.885,346.374.351.728,,242.0,13.0,698506086885.0,346374351728.0
IV.,IV.,IV.,Tài sản dài hạn khác,260,,36.412.462.405,29.444.579.301,,260.0,,36412462405.0,29444579301.0
1.,1.,1.,Chỉ phí trả trước dài hạn,261,10,29.243.644.973,27.929.004.906,,261.0,10.0,29243644973.0,27929004906.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,7.168.817.432,1.515.574.395,,262.0,,7168817432.0,1515574395.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,10.172.594.752.746,11.030.586.388.032,,270.0,,10172594752746.0,11030586388032.0
