row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,148.918.990,44.063.266,-,104.855.724,148918990.0,44063266.0,,104855724.0
Tiền thuê đất,a. Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,397.346.605,-,-,397.346.605,397346605.0,,,397346605.0
Thuế nhập khẩu,a. Các khoản phải thu > Thuế nhập khẩu,Thuế nhập khẩu,-,9.922.123.999,9.988.931.774,66.807.775,,9922123999.0,9988931774.0,66807775.0
,,,546.265.595,9.966.187.265,9.988.931.774,569.010.104,546265595.0,9966187265.0,9988931774.0,569010104.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,646.578.417,9.383.883.570,8.908.642.976,1.121.819.011,646578417.0,9383883570.0,8908642976.0,1121819011.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,27.883.948.425,41.017.685.327,52.400.707.340,16.500.926.412,27883948425.0,41017685327.0,52400707340.0,16500926412.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,202.345.130,2.517.048.472,2.490.390.402,229.003.200,202345130.0,2517048472.0,2490390402.0,229003200.0
Tiền thuê đất,b. Các khoản phải trả > Tiền thuê đất,Tiền thuê đất,-,80.190.225,80.190.225,-,,80190225.0,80190225.0,
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.112.152.198,19.405.622.584,20.183.782.487,4.333.992.295,5112152198.0,19405622584.0,20183782487.0,4333992295.0
Thuế khác,b. Các khoản phải trả > Thuế khác,Thuế khác,239.208.848,10.927.558.593,10.940.156.145,226.611.296,239208848.0,10927558593.0,10940156145.0,226611296.0
,,,34.084.233.018,83.331.988.771,95.003.869.575,22.412.352.214,34084233018.0,83331988771.0,95003869575.0,22412352214.0
