row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm.,Số đầu năm.,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm.,numeric__Số đầu năm.
C.,C.,C.,NỘ PHẢI TRÀ,300,,4.066.267.502.667,4.761.714.137.133,,300.0,,4066267502667.0,4761714137133.0
I.,I.,I.,Nợ ngắn hạn,310,,3.299.997.853.380,3.096.935.931.168,,310.0,,3299997853380.0,3096935931168.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,14,879.301.635.352,760.187.117.215,,311.0,14.0,879301635352.0,760187117215.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,15,45.098.300.796,139.370.673.801,,312.0,15.0,45098300796.0,139370673801.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,22.412.352.214,34.084.233.018,,313.0,16.0,22412352214.0,34084233018.0
4.,4.,4.,Phải trả người lao động,314,,94.836.998.483,24.338.060.250,,314.0,,94836998483.0,24338060250.0
5.,5.,5.,Chí phí phải trả ngắn hạn,315,17,794.187.740.905,669.747.338.381,,315.0,17.0,794187740905.0,669747338381.0
6.,6.,6.,Phải trả ngắn hạn khác,319,18,203.311.278.174,231.677.522.985,,319.0,18.0,203311278174.0,231677522985.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,19,1.156.371.698.429,1.195.945.359.955,,320.0,19.0,1156371698429.0,1195945359955.0
8.,8.,8.,Dự phòng phải trả ngắn hạn,321,,119.397.600,-,,321.0,,119397600.0,
9.,9.,9.,"Quỹ khên thường, phúc lợi",322,,104.358.451.427,41.585.625.563,,322.0,,104358451427.0,41585625563.0
II.,II.,II.,Nợ dài hạn,330,,766.269.649.287,1.664.778.205.965,,330.0,,766269649287.0,1664778205965.0
1.,1.,1.,Vay và nợ thuê tài chính dài hạn,338,20,628.472.495.241,1.508.269.730.041,,338.0,20.0,628472495241.0,1508269730041.0
2.,2.,2.,Quỹ phát triển khoa học và công nghệ,343,21,137.797.154.046,156.508.475.924,,343.0,21.0,137797154046.0,156508475924.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,6.106.327.250.079,6.268.872.250.899,,400.0,,6106327250079.0,6268872250899.0
I.,I.,I.,Vốn chủ sở hữu,410,22,6.106.327.250.079,6.268.872.250.899,,410.0,22.0,6106327250079.0,6268872250899.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,5.294.000.000.000,5.294.000.000.000,,411.0,,5294000000000.0,5294000000000.0
,,,- Cổ phiếu phố thống có quyền biểu quyết,411a,,5.294.000.000.000,5.294.000.000.000,,,,5294000000000.0,5294000000000.0
2.,2.,2.,Vốn khác của chủ sở hữu,414,,3.665.420.000,2.499.150.000,,414.0,,3665420000.0,2499150000.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,352.538.306.337,317.733.263.806,,418.0,,352538306337.0,317733263806.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,428.845.630.394,626.042.163.540,,421.0,,428845630394.0,626042163540.0
,,,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,146.209.745.040,114.025.462.671,,,,146209745040.0,114025462671.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,282.635.885.354,512.016.700.869,,,,282635885354.0,512016700869.0
5.,5.,5.,Lợi ích của cổ đông không kiểm soát,429,,27.277.893.348,28.597.673.553,,429.0,,27277893348.0,28597673553.0
,,,TỔNG CỘNG NGUỒN VỐN(440=300+400),440,,10.172.594.752.746,11.030.586.388.032,,440.0,,10172594752746.0,11030586388032.0
