row_label_raw,row_label_full,col_0,31/12/2020,31/12/2020_1,01/01/2020 (đã điều chỉnh),01/01/2020 (đã điều chỉnh)_1,numeric__31/12/2020,numeric__31/12/2020_1,numeric__01/01/2020 (đã điều chỉnh),numeric__01/01/2020 (đã điều chỉnh)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,6.906.308.802,-,196.032.263,-,6906308802.0,,196032263.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",560.616.056.479,(19.444.812.303),608.319.179.080,(15.778.858.560),560616056479.0,-19444812303.0,608319179080.0,-15778858560.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",83.072.375.910,(5.559.899.846),85.664.130.031,(1.093.196.844),83072375910.0,-5559899846.0,85664130031.0,-1093196844.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.558.484.755.167,-,1.522.748.214.655,(1.273.312.770),1558484755167.0,,1522748214655.0,-1273312770.0
Thành phẩm,Thành phẩm,Thành phẩm,1.117.653.314.068,(54.417.039.064),1.092.906.506.775,(35.695.703.161),1117653314068.0,-54417039064.0,1092906506775.0,-35695703161.0
Hàng hoá,Hàng hoá,Hàng hoá,166.289.678.885,(4.938.426.152),103.531.352.331,(3.232.956.670),166289678885.0,-4938426152.0,103531352331.0,-3232956670.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,6.710.543.402,(205.359.563),3.745.177.501,(522.276.704),6710543402.0,-205359563.0,3745177501.0,-522276704.0
,,,3.499.733.032.713,(84.565.536.928),3.417.110.592.636,(57.596.304.709),3499733032713.0,-84565536928.0,3417110592636.0,-57596304709.0
