row_label_raw,row_label_full,col_0,Nhóm bắt động sản và xây dựng,"Nhóm Kính, Sử, Sen vòi, Phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Các bộ phận khác,Loại trừ,Tổng cộng toàn Doanh nghiệp,numeric__Nhóm bắt động sản và xây dựng,"numeric__Nhóm Kính, Sử, Sen vòi, Phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngói đất sét nung",numeric__Các bộ phận khác,numeric__Loại trừ,numeric__Tổng cộng toàn Doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,2.493.848.521.142,1.976.426.287.728,2.737.398.239.966,1.988.639.067.860,236.736.868.584,-,9.433.048.985.280,2493848521142.0,1976426287728.0,2737398239966.0,1988639067860.0,236736868584.0,,9433048985280.0
Giá vốn của hàng bán và dịch vụ,Giá vốn của hàng bán và dịch vụ,Giá vốn của hàng bán và dịch vụ,1.598.978.587.996,1.566.570.667.544,2.066.972.300.262,1.647.537.696.171,225.307.929.479,-,7.105.367.181.452,1598978587996.0,1566570667544.0,2066972300262.0,1647537696171.0,225307929479.0,,7105367181452.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,894.869.933.146,409.855.620.184,670.425.939.704,341.101.371.689,11.428.939.105,-,2.327.681.803.828,894869933146.0,409855620184.0,670425939704.0,341101371689.0,11428939105.0,,2327681803828.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,2.681.569.165.415,15.354.152.346,11.043.158.867,10.674.509.243,172.645.903.220,-,2.891.286.889.091,2681569165415.0,15354152346.0,11043158867.0,10674509243.0,172645903220.0,,2891286889091.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,15.773.908.352.697,2.453.423.866.785,2.185.851.553.498,1.335.722.107.257,464.639.463.108,(1.632.903.700.494),20.580.641.642.851,15773908352697.0,2453423866785.0,2185851553498.0,1335722107257.0,464639463108.0,-1632903700494.0,20580641642851.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,742.598.327.698,,,,,,,742598327698.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,15.773.908.352.697,2.453.423.866.785,2.185.851.553.498,1.335.722.107.257,464.639.463.108,(1.632.903.700.494),21.323.239.970.549,15773908352697.0,2453423866785.0,2185851553498.0,1335722107257.0,464639463108.0,-1632903700494.0,21323239970549.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,11.009.700.603.450,2.128.082.718.913,1.748.280.446.323,679.919.194.029,111.104.615.639,(1.627.113.631.132),14.049.973.947.222,11009700603450.0,2128082718913.0,1748280446323.0,679919194029.0,111104615639.0,-1627113631132.0,14049973947222.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,249.150.897.458,,,,,,,249150897458.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,11.009.700.603.450,2.128.082.718.913,1.748.280.446.323,679.919.194.029,111.104.615.639,(1.627.113.631.132),14.299.124.844.680,11009700603450.0,2128082718913.0,1748280446323.0,679919194029.0,111104615639.0,-1627113631132.0,14299124844680.0
