row_label_raw,row_label_full,col_0,Loại tiềnvay,Lãi suất năm,Mục đích vay,Hình thức đảm bảo,31/12/2020 > VND,01/01/2020(dã điều chỉnh) > VND,numeric__Loại tiềnvay,numeric__Lãi suất năm,numeric__Mục đích vay,numeric__Hình thức đảm bảo,numeric__31/12/2020 > VND,numeric__01/01/2020(dã điều chỉnh) > VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.196.179.780.322,1.181.468.518.476,,,,,1196179780322.0,1181468518476.0
- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,VND,Thả nổi và theotừng khế ước nhận nợ,Bổ sung vốn lưu động,Thế chấp bằng tài sản,440.822.115.377,435.374.987.925,,,,,440822115377.0,435374987925.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND vàngoại tệ,Thả nổi và theotừng khế ước nhận nợ,Bổ sung vốn lưu động,Thế chấp bằng tài sảnvà ký quỹ,314.461.291.908,288.291.486.078,,,,,314461291908.0,288291486078.0
- Ngân hàng Nông nghiệp và Phát triểnNông thôn Việt Nam,- Ngân hàng Nông nghiệp và Phát triểnNông thôn Việt Nam,- Ngân hàng Nông nghiệp và Phát triểnNông thôn Việt Nam,VND,Thả nổi và theotừng khế ước nhận nợ,Bổ sung vốn lưu động,Tín chấp vàthế chấp bằng tài sản,259.107.568.472,220.365.139.081,,,,,259107568472.0,220365139081.0
- Ngân hàng TMCP Ngoại thương Việt Nam,- Ngân hàng TMCP Ngoại thương Việt Nam,- Ngân hàng TMCP Ngoại thương Việt Nam,VND vàngoại tệ,Thả nổi và theotừng khế ước nhận nợ,Bổ sung vốn lưu động,Thế chấp bằng tài sản,93.934.157.533,147.741.292.204,,,,,93934157533.0,147741292204.0
- Ngân hàng TMCP Sài Gòn - Hà Nội,- Ngân hàng TMCP Sài Gòn - Hà Nội,- Ngân hàng TMCP Sài Gòn - Hà Nội,VND,Theo từng khế ước,Bổ sung vốn lưu động,Thế chấp bằng tài sản,2.331.924.446,2.331.924.446,,,,,2331924446.0,2331924446.0
- Ngân hàng TMCP Quốc tế Việt Nam,- Ngân hàng TMCP Quốc tế Việt Nam,- Ngân hàng TMCP Quốc tế Việt Nam,VND,Theo từng khế ước,Bổ sung vốn lưu động,Thế chấp bằng tài sản,2.695.127.310,-,,,,,2695127310.0,
- Ngân hàng TMCP Việt Nam Thịnh Vượng,- Ngân hàng TMCP Việt Nam Thịnh Vượng,- Ngân hàng TMCP Việt Nam Thịnh Vượng,VND,Thả nổi và theotừng khế ước nhận nợ,Bổ sung vốn lưu động,Thế chấp bằng tài sản,2.967.099.610,6.200.000.000,,,,,2967099610.0,6200000000.0
- Ngân hàng TMCP Phát triển Thành Phó Hồ Chí Minh,- Ngân hàng TMCP Phát triển Thành Phó Hồ Chí Minh,- Ngân hàng TMCP Phát triển Thành Phó Hồ Chí Minh,VND,Theo từng khế ước,Bổ sung vốn lưu động,Tín chấp,-,39.934.999.786,,,,,,39934999786.0
- Ngân hàng TMCP Hàng Hải Việt Nam,- Ngân hàng TMCP Hàng Hải Việt Nam,- Ngân hàng TMCP Hàng Hải Việt Nam,VND,Theo từng khế ước,Bổ sung vốn lưu động,Thế chấp bằng tài sản,58.773.356.538,10.240.440.112,,,,,58773356538.0,10240440112.0
- Cá nhân,- Cá nhân,- Cá nhân,VND,Theo từng hợp đồng,Bổ sung vốn lưu động,Tín chấp vàthế chấp bằng tài sản,21.087.139.128,30.988.248.844,,,,,21087139128.0,30988248844.0
