row_label_raw,row_label_full,col_0,31/12/2020,Tỷ lệ,01/01/2020,Tỷ lệ_1,numeric__31/12/2020,numeric__Tỷ lệ,numeric__01/01/2020,numeric__Tỷ lệ_1
,,,VND,%,VND,%,,,,
Vốn góp của Nhà nước,Vốn góp của Nhà nước,Vốn góp của Nhà nước,1.729.852.620.000,"38,58%",1.729.852.620.000,"38,58%",1729852620000.0,0.3858,1729852620000.0,0.3858
Tổng Công ty Cổ phần Thiết bị điện Việt Nam,Tổng Công ty Cổ phần Thiết bị điện Việt Nam,Tổng Công ty Cổ phần Thiết bị điện Việt Nam,1.194.380.600.000,"26,64%",248.276.000.000,"5,54%",1194380600000.0,0.2664,248276000000.0,0.0554
Công ty Cổ phần Thiết bị điện GELEX,Công ty Cổ phần Thiết bị điện GELEX,Công ty Cổ phần Thiết bị điện GELEX,871.000.000.000,"19,43%",871.000.000.000,"19,43%",871000000000.0,0.1943,871000000000.0,0.1943
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,688.266.780.000,"15,35%",1.634.371.380.000,"36,45%",688266780000.0,0.1535,1634371380000.0,0.36450000000000005
Cộng,Cộng,Cộng,4.483.500.000.000,100%,4.483.500.000.000,100%,4483500000000.0,1.0,4483500000000.0,1.0
