row_label_raw,row_label_full,col_0,Mã số,Đã trình bày trên báo cáo nằm trước,Đã điều chỉnh lại,Chênh lệch,numeric__Mã số,numeric__Đã trình bày trên báo cáo nằm trước,numeric__Đã điều chỉnh lại,numeric__Chênh lệch
,,,,VND,VND,,,,,
a) Băng Cân đối kế toán hợp nhất,a) Băng Cân đối kế toán hợp nhất,a) Băng Cân đối kế toán hợp nhất,a) Băng Cân đối kế toán hợp nhất,a) Băng Cân đối kế toán hợp nhất,a) Băng Cân đối kế toán hợp nhất,a) Băng Cân đối kế toán hợp nhất,,,,
Hàng tồn kho,a) Băng Cân đối kế toán hợp nhất > Hàng tồn kho,Hàng tồn kho,141,3.397.110.592.636,3.417.110.592.636,20.000.000.000,141.0,3397110592636.0,3417110592636.0,20000000000.0
Tài sản cố định hữu hình,a) Băng Cân đối kế toán hợp nhất > Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,3.694.666.733.160,3.656.233.496.600,(38.433.236.560),221.0,3694666733160.0,3656233496600.0,-38433236560.0
Chi phí trả trước dài hạn,a) Băng Cân đối kế toán hợp nhất > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,387.076.045.080,324.679.045.080,(62.397.000.000),261.0,387076045080.0,324679045080.0,-62397000000.0
Tài sản thuế thu nhập hoãn lại,a) Băng Cân đối kế toán hợp nhất > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,4.000.000.000,-,(4.000.000.000),262.0,4000000000.0,,-4000000000.0
Phải trả người bán ngắn hạn,a) Băng Cân đối kế toán hợp nhất > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,1.190.366.006.963,1.127.969.006.963,(62.397.000.000),311.0,1190366006963.0,1127969006963.0,-62397000000.0
Người mua trả tiền trước ngắn hạn,a) Băng Cân đối kế toán hợp nhất > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,1.932.586.483.197,1.893.843.082.356,(38.743.400.841),312.0,1932586483197.0,1893843082356.0,-38743400841.0
Thuế và các khoản phải nộp Nhà nước,a) Băng Cân đối kế toán hợp nhất > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,243.638.668.002,236.996.764.170,(6.641.903.832),313.0,243638668002.0,236996764170.0,-6641903832.0
Chi phí phải trả ngắn hạn,a) Băng Cân đối kế toán hợp nhất > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,521.271.822.886,486.218.526.133,(35.053.296.753),315.0,521271822886.0,486218526133.0,-35053296753.0
Phải trả ngắn hạn khác,a) Băng Cân đối kế toán hợp nhất > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,347.164.878.888,385.908.279.729,38.743.400.841,319.0,347164878888.0,385908279729.0,38743400841.0
Vay và nợ thuê tài chính ngắn hạn,a) Băng Cân đối kế toán hợp nhất > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,1.530.588.391.959,1.592.002.391.959,61.414.000.000,320.0,1530588391959.0,1592002391959.0,61414000000.0
Dự phòng phải trả ngắn hạn,a) Băng Cân đối kế toán hợp nhất > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,120.668.765.030,155.722.061.783,35.053.296.753,321.0,120668765030.0,155722061783.0,35053296753.0
Vay và nợ thuê tài chính dài hạn,a) Băng Cân đối kế toán hợp nhất > Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,633.739.693.582,572.325.693.582,(61.414.000.000),338.0,633739693582.0,572325693582.0,-61414000000.0
Thuế thu nhập hoãn lại phải trả,a) Băng Cân đối kế toán hợp nhất > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,33.946.710.416,62.721.344.154,28.774.633.738,341.0,33946710416.0,62721344154.0,28774633738.0
Lợi nhuận sau thuế chưa phân phối,a) Băng Cân đối kế toán hợp nhất > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,824.098.796.839,775.940.270.061,(48.158.526.778),421.0,824098796839.0,775940270061.0,-48158526778.0
Lợi ích cố đông không kiểm soát,a) Băng Cân đối kế toán hợp nhất > Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,429,660.038.572.533,663.631.132.845,3.592.560.312,429.0,660038572533.0,663631132845.0,3592560312.0
b) Báo cáo Lưu chuyển tiền tệ hợp nhất,b) Báo cáo Lưu chuyển tiền tệ hợp nhất,b) Báo cáo Lưu chuyển tiền tệ hợp nhất,b) Báo cáo Lưu chuyển tiền tệ hợp nhất,b) Báo cáo Lưu chuyển tiền tệ hợp nhất,b) Báo cáo Lưu chuyển tiền tệ hợp nhất,b) Báo cáo Lưu chuyển tiền tệ hợp nhất,,,,
Các khoản dự phòng,b) Báo cáo Lưu chuyển tiền tệ hợp nhất > Các khoản dự phòng,Các khoản dự phòng,03,11.537.921.198,14.045.273.005,2.507.351.807,3.0,11537921198.0,14045273005.0,2507351807.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","b) Báo cáo Lưu chuyển tiền tệ hợp nhất > Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,3.131.271.384.142,3.128.764.032.335,(2.507.351.807),11.0,3131271384142.0,3128764032335.0,-2507351807.0
