row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm(dã điều chỉnh),Số phải nộptrong năm,Số đã thực nộptrong năm,Giảm do thơiivốn công ty con,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm(dã điều chỉnh),numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Giảm do thơiivốn công ty con,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,46.627.138.328,32.180.068.939,324.928.816.616,309.345.181.525,9.461.043.791,47.744.830.972,39.420.352.883,46627138328.0,32180068939.0,324928816616.0,309345181525.0,9461043791.0,47744830972.0,39420352883.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",50.204.871,-,3.134.322.539,3.114.749.127,-,30.631.459,-,50204871.0,,3134322539.0,3114749127.0,,30631459.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,242.050.228,99.062.961.821,187.918.182.861,190.726.111.419,1.572.302.047,2.092.796.964,96.533.477.952,242050228.0,99062961821.0,187918182861.0,190726111419.0,1572302047.0,2092796964.0,96533477952.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,10.176.227.981,37.641.823.823,35.236.575.446,353.742.268,381.174.169,12.608.908.259,,10176227981.0,37641823823.0,35236575446.0,353742268.0,381174169.0,12608908259.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,164.088.079,543.431.293,13.793.774.061,12.417.981.866,-,-,1.755.135.409,164088079.0,543431293.0,13793774061.0,12417981866.0,,,1755135409.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,1.769.895.986,10.709.533.386,43.069.741.534,39.184.442.384,4.515.095.566,1.060.482.048,9.370.323.032,1769895986.0,10709533386.0,43069741534.0,39184442384.0,4515095566.0,1060482048.0,9370323032.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,95.450.947,17.283.749.478,9.949.165.502,8.642.726.018,9.343.772.659,96.450.947,9.247.416.303,95450947.0,17283749478.0,9949165502.0,8642726018.0,9343772659.0,96450947.0,9247416303.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",150.977.091,67.040.791.272,9.253.049.619,9.682.580.583,-,175.387.263,66.635.670.480,150977091.0,67040791272.0,9253049619.0,9682580583.0,,175387263.0,66635670480.0
,,,49.099.805.530,236.996.764.170,629.688.876.555,608.350.348.368,25.245.956.331,51.581.753.822,235.571.284.318,49099805530.0,236996764170.0,629688876555.0,608350348368.0,25245956331.0,51581753822.0,235571284318.0
