row_label_raw,row_label_full,Bà Phạm Ngọc Bích,Trường ban,numeric__Trường ban
Bà Nguyễn Thị Cẩm Vân,Bà Nguyễn Thị Cẩm Vân,Bà Nguyễn Thị Cẩm Vân,Thành viên,
Bà Nguyễn Thị Thanh Yến,Bà Nguyễn Thị Thanh Yến,Bà Nguyễn Thị Thanh Yến,Thành viên,
