row_label_raw,row_label_full,col_0,Nhà và quyềnsử dụng đất,Cơ sở hạ tầng,Cộng,numeric__Nhà và quyềnsử dụng đất,numeric__Cơ sở hạ tầng,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.331.130.341.608,4.183.988.037.357,5.515.118.378.965,1331130341608.0,4183988037357.0,5515118378965.0
- Tăng từ đầu tư xây dựng cơ bản (15.1),Nguyên giá > - Tăng từ đầu tư xây dựng cơ bản (15.1),- Tăng từ đầu tư xây dựng cơ bản (15.1),-,812.857.354.111,812.857.354.111,,812857354111.0,812857354111.0
- Tăng do phân loại lại,Nguyên giá > - Tăng do phân loại lại,- Tăng do phân loại lại,13.516.034.000,-,13.516.034.000,13516034000.0,,13516034000.0
- Giảm do điều chỉnh theo quyết toán,Nguyên giá > - Giảm do điều chỉnh theo quyết toán,- Giảm do điều chỉnh theo quyết toán,(4.836.023.326),(5.703.666.866),(10.539.690.192),-4836023326.0,-5703666866.0,-10539690192.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.339.810.352.282,4.991.141.724.602,6.330.952.076.884,1339810352282.0,4991141724602.0,6330952076884.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,313.281.298.039,401.382.162.005,714.663.460.044,313281298039.0,401382162005.0,714663460044.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,25.746.480.544,110.871.806.395,136.618.286.939,25746480544.0,110871806395.0,136618286939.0
- Tăng do phân loại lại,Giá trị hao mòn luỹ kế > - Tăng do phân loại lại,- Tăng do phân loại lại,816.404.738,-,816.404.738,816404738.0,,816404738.0
- Giảm do điều chỉnh theo quyết toán,Giá trị hao mòn luỹ kế > - Giảm do điều chỉnh theo quyết toán,- Giảm do điều chỉnh theo quyết toán,-,(621.020.811),(621.020.811),,-621020811.0,-621020811.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,339.844.183.321,511.632.947.589,851.477.130.910,339844183321.0,511632947589.0,851477130910.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.017.849.043.569,3.782.605.875.352,4.800.454.918.921,1017849043569.0,3782605875352.0,4800454918921.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,999.966.168.961,4.479.508.777.013,5.479.474.945.974,999966168961.0,4479508777013.0,5479474945974.0
