row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,31/12/2020 > VND,01/01/2020 (Đã điều chỉnh) > VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__31/12/2020 > VND,numeric__01/01/2020 (Đã điều chỉnh) > VND
300,300,300,C. NỘ PHẢI TRẢ,,14.299.124.844.680,12.792.413.573.263,,,14299124844680.0,12792413573263.0
310,310,310,I. Nợ ngắn hạn,,7.353.387.535.929,6.301.975.854.665,,,7353387535929.0,6301975854665.0
311,311,311,1. Phải trả người bán ngắn hạn,17,1.090.144.376.278,1.127.969.006.963,,17.0,1090144376278.0,1127969006963.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,19,2.739.268.318.482,1.893.843.082.356,,19.0,2739268318482.0,1893843082356.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,18,235.571.284.318,236.996.764.170,,18.0,235571284318.0,236996764170.0
314,314,314,4. Phải trả người lao động,,236.467.019.984,217.482.181.022,,,236467019984.0,217482181022.0
315,315,315,5. Chi phí phải trả ngắn hạn,20,699.070.990.594,486.218.526.133,,20.0,699070990594.0,486218526133.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,21,69.014.789.179,87.992.613.151,,21.0,69014789179.0,87992613151.0
319,319,319,7. Phải trả ngắn hạn khác,22,462.868.018.360,385.908.279.729,,22.0,462868018360.0,385908279729.0
320,320,320,8. Vay và nợ thuê tài chính ngắn hạn,24,1.502.376.066.248,1.592.002.391.959,,24.0,1502376066248.0,1592002391959.0
321,321,321,9. Dự phòng phải trả ngắn hạn,23,169.322.174.276,155.722.061.783,,23.0,169322174276.0,155722061783.0
322,322,322,"10. Quỹ khen thưởng, phúc lợi",,149.284.498.210,117.840.947.399,,,149284498210.0,117840947399.0
330,330,330,II. Nợ dài hạn,,6.945.737.308.751,6.490.437.718.598,,,6945737308751.0,6490437718598.0
333,333,333,1. Chi phí phải trả dài hạn,20,3.335.688.476.991,2.605.127.474.307,,20.0,3335688476991.0,2605127474307.0
336,336,336,2. Doanh thu chưa thực hiện dài hạn,21,2.787.982.222.221,2.909.934.685.474,,21.0,2787982222221.0,2909934685474.0
337,337,337,3. Phải trả dài hạn khác,22,42.121.759.692,43.813.844.974,,22.0,42121759692.0,43813844974.0
338,338,338,4. Vay và nợ thuê tài chính dài hạn,24,395.583.396.254,572.325.693.582,,24.0,395583396254.0,572325693582.0
341,341,341,5. Thuế thu nhập hoãn lại phải trả,39,61.124.779.884,62.721.344.154,,39.0,61124779884.0,62721344154.0
342,342,342,6. Dự phòng phải trả dài hạn,23,186.434.099.947,188.979.313.427,,23.0,186434099947.0,188979313427.0
343,343,343,7. Quỹ phát triển khoa học và công nghệ,,136.802.573.762,107.535.362.680,,,136802573762.0,107535362680.0
