row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thắng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối doái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn Chủ sở hữu,Lợi nhuận chưa phân phối (đã điều chỉnh),Lợi ích cổ đông không kiểm soát (đã điều chỉnh),Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thắng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối doái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn Chủ sở hữu,numeric__Lợi nhuận chưa phân phối (đã điều chỉnh),numeric__Lợi ích cổ đông không kiểm soát (đã điều chỉnh),numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.483.500.000.000,929.291.908.278,22.586.151.682,(149.876.239),(211.681.407.015),-,241.493.229.223,6.598.807.910,682.144.312.941,617.665.678.251,6.771.448.805.031,4483500000000.0,929291908278.0,22586151682.0,-149876239.0,-211681407015.0,,241493229223.0,6598807910.0,682144312941.0,617665678251.0,6771448805031.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,-,-,-,651.502.208.886,107.867.723.910,759.369.932.796,,,,,,,,,651502208886.0,107867723910.0,759369932796.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,-,(448.350.000.000),(67.981.240.096),(516.331.240.096),,,,,,,,,-448350000000.0,-67981240096.0,-516331240096.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,274.983.055,-,-,-,45.432.524.269,-,(45.707.507.324),-,-,,,274983055.0,,,,45432524269.0,,-45707507324.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(49.188.049.430),(10.636.610.464),(59.824.659.894),,,,,,,,,-49188049430.0,-10636610464.0,-59824659894.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,147.404.489,-,-,-,-,-,-,147.404.489,,,,147404489.0,,,,,,,147404489.0
Trá thủ lao của Hội đồng quản trị,Trá thủ lao của Hội đồng quản trị,Trá thủ lao của Hội đồng quản trị,-,-,-,-,-,-,-,-,(976.004.540),(851.514.384),(1.827.518.924),,,,,,,,,-976004540.0,-851514384.0,-1827518924.0
Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,-,-,-,-,-,-,-,-,(7.233.201.649),(6.617.055.808),(13.850.257.457),,,,,,,,,-7233201649.0,-6617055808.0,-13850257457.0
Do công ty con thay đổi vốn góp,Do công ty con thay đổi vốn góp,Do công ty con thay đổi vốn góp,-,2.662.725.170,(2.000.295),-,-,-,(1.097.634.756),(8.077.618),(1.534.742.311),25.339.265.410,25.359.535.600,,2662725170.0,-2000295.0,,,,-1097634756.0,-8077618.0,-1534742311.0,25339265410.0,25359535600.0
