row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2020,Năm 2019 (đã điều chỉnh),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2020,numeric__Năm 2019 (đã điều chỉnh)
,,,,,VND,VND,,,,
I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận trước thuế,,840.701.051.995,970.140.201.188,,,840701051995.0,970140201188.0
01,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Điều chỉnh cho các khoản,,748.413.696.155,701.225.111.797,,,748413696155.0,701225111797.0
02,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,- Khấu hao tài sản cố định và Bất động sản đầu tư,,531.086.681.375,527.688.376.377,,,531086681375.0,527688376377.0
03,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,- Các khoản dự phòng,,104.664.461.092,14.045.273.005,,,104664461092.0,14045273005.0
04,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,2.254.497.223,2.507.587.109,,,2254497223.0,2507587109.0
05,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,"- Lãi, lỗ từ hoạt động đầu tư",,(90.972.736.368),(82.350.598.446),,,-90972736368.0,-82350598446.0
06,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,- Chi phí lãi vay,,160.976.347.894,169.334.473.752,,,160976347894.0,169334473752.0
07,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,- Các khoản điều chỉnh khác,,40.404.444.939,70.000.000.000,,,40404444939.0,70000000000.0
08,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,1.589.114.748.150,1.671.365.312.985,,,1589114748150.0,1671365312985.0
09,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,"- Tăng, giảm các khoản phải thu",,13.503.859.849,(172.703.972.816),,,13503859849.0,-172703972816.0
10,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,"- Tăng, giảm hàng tồn kho",,(94.484.342.208),(373.310.615.265),,,-94484342208.0,-373310615265.0
11,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,1.634.701.504.621,3.128.764.032.335,,,1634701504621.0,3128764032335.0
12,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,"- Tăng, giảm chi phí trả trước",,32.182.450.005,(44.233.174.376),,,32182450005.0,-44233174376.0
14,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,- Tiền lãi vay đã trả,,(163.343.697.248),(185.673.520.881),,,-163343697248.0,-185673520881.0
15,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 15,15,- Thuế thu nhập doanh nghiệp đã nộp,,(190.726.111.419),(195.509.852.039),,,-190726111419.0,-195509852039.0
16,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 16,16,- Tiền thu khác từ hoạt động kinh doanh,,479.080.896,804.505.000,,,479080896.0,804505000.0
17,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 17,17,- Tiền chi khác cho hoạt động kinh doanh,,(48.140.633.362),(35.249.930.520),,,-48140633362.0,-35249930520.0
20,I. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,2.773.286.859.284,3.794.252.784.423,,,2773286859284.0,3794252784423.0
II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
21,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21,21,"1. Tiền chi để mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",,(2.777.858.190.225),(2.326.280.105.587),,,-2777858190225.0,-2326280105587.0
22,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 22,22,"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",,16.985.009.273,3.188.522.089,,,16985009273.0,3188522089.0
23,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 23,23,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(23.854.022.378),(90.000.000.000),,,-23854022378.0,-90000000000.0
24,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24,24,"4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,33.824.500.000,360.868.918.128,,,33824500000.0,360868918128.0
25,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 25,25,5. Tiền chi đầu tư góp vốn vào đơn vị khác,,(23.314.863.402),(18.554.510.462),,,-23314863402.0,-18554510462.0
26,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 26,26,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,9.487.023.820,-,,,9487023820.0,
27,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,54.920.471.951,86.658.514.937,,,54920471951.0,86658514937.0
30,II. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(2.709.810.070.961),(1.984.118.660.895),,,-2709810070961.0,-1984118660895.0
