row_label_raw,row_label_full,col_0,31/12/2020,01/01/2020(dã điều chỉnh),numeric__31/12/2020,numeric__01/01/2020(dã điều chỉnh)
,,,VND,VND,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,
Lãi tiền vay phải trả,a) Ngắn hạn > Lãi tiền vay phải trả,Lãi tiền vay phải trả,13.046.861.431,17.099.599.847,13046861431.0,17099599847.0
"Trích trước chi phí các dự án, công trình xây dựng","a) Ngắn hạn > Trích trước chi phí các dự án, công trình xây dựng","Trích trước chi phí các dự án, công trình xây dựng",565.702.929.103,360.494.552.635,565702929103.0,360494552635.0
Trích trước chi phí chiết khấu cho khách hàng,a) Ngắn hạn > Trích trước chi phí chiết khấu cho khách hàng,Trích trước chi phí chiết khấu cho khách hàng,72.695.592.507,52.653.655.866,72695592507.0,52653655866.0
"Trích trước chi phí hỗ trợ tiêu thụ, kinh doanh","a) Ngắn hạn > Trích trước chi phí hỗ trợ tiêu thụ, kinh doanh","Trích trước chi phí hỗ trợ tiêu thụ, kinh doanh",1.504.813.920,1.670.000.000,1504813920.0,1670000000.0
"Trích trước chi phí vận chuyển, bốc xếp","a) Ngắn hạn > Trích trước chi phí vận chuyển, bốc xếp","Trích trước chi phí vận chuyển, bốc xếp",13.420.365.947,13.553.437.477,13420365947.0,13553437477.0
Tạm trích tiền thuê đất,a) Ngắn hạn > Tạm trích tiền thuê đất,Tạm trích tiền thuê đất,3.638.998.824,3.238.010.360,3638998824.0,3238010360.0
Trích trước chi phí xuất khẩu,a) Ngắn hạn > Trích trước chi phí xuất khẩu,Trích trước chi phí xuất khẩu,2.088.874.983,1.097.101.501,2088874983.0,1097101501.0
"Chi phí quảng cáo, phát triển thị trường, nghiên cứu sản phẩm","a) Ngắn hạn > Chi phí quảng cáo, phát triển thị trường, nghiên cứu sản phẩm","Chi phí quảng cáo, phát triển thị trường, nghiên cứu sản phẩm",841.604.995,5.550.968.793,841604995.0,5550968793.0
Trích trước chi phí in lịch,a) Ngắn hạn > Trích trước chi phí in lịch,Trích trước chi phí in lịch,-,1.461.000.000,,1461000000.0
"Trích trước chi phí tiền điện, nước","a) Ngắn hạn > Trích trước chi phí tiền điện, nước","Trích trước chi phí tiền điện, nước",3.812.889.666,4.320.961.482,3812889666.0,4320961482.0
Chi phí phải trả khác,a) Ngắn hạn > Chi phí phải trả khác,Chi phí phải trả khác,22.318.059.218,25.079.238.172,22318059218.0,25079238172.0
,,,699.070.990.594,486.218.526.133,699070990594.0,486218526133.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,,
Trích trước giá vốn cho thuê hạ tầng các khu công nghiệp,b) Dài hạn > Trích trước giá vốn cho thuê hạ tầng các khu công nghiệp,Trích trước giá vốn cho thuê hạ tầng các khu công nghiệp,3.335.688.476.991,2.605.127.474.307,3335688476991.0,2605127474307.0
,,,3.335.688.476.991,2.605.127.474.307,3335688476991.0,2605127474307.0
