row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Giá trị thương hiệu, Nhân hiệu hàng hóa, bàn quyền",Phần mềm máy vi tính,Chi phí đến bù san lắp mặt bằng,Tài sản cố định vô hình khác,Cộng,numeric__Quyền sử dụng đất,"numeric__Giá trị thương hiệu, Nhân hiệu hàng hóa, bàn quyền",numeric__Phần mềm máy vi tính,numeric__Chi phí đến bù san lắp mặt bằng,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,96.539.538.295,14.344.705.697,6.072.107.716,93.259.704.164,1.602.635.000,211.818.690.872,96539538295.0,14344705697.0,6072107716.0,93259704164.0,1602635000.0,211818690872.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,10.034.898.959,-,-,10.034.898.959,,,10034898959.0,,,10034898959.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,-,(606.858.393),-,-,(606.858.393),,,-606858393.0,,,-606858393.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,96.539.538.295,14.344.705.697,15.500.148.282,93.259.704.164,1.602.635.000,221.246.731.438,96539538295.0,14344705697.0,15500148282.0,93259704164.0,1602635000.0,221246731438.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,16.843.686.468,5.463.736.011,5.200.413.867,13.996.158.267,947.548.900,42.451.543.513,16843686468.0,5463736011.0,5200413867.0,13996158267.0,947548900.0,42451543513.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,1.080.552.528,3.230.863.500,993.136.614,2.186.773.796,172.509.780,7.663.836.218,1080552528.0,3230863500.0,993136614.0,2186773796.0,172509780.0,7663836218.0
- Giảm khác,Giá trị hao mòn luỹ kế > - Giảm khác,- Giảm khác,-,-,(606.858.393),-,-,(606.858.393),,,-606858393.0,,,-606858393.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,17.924.238.996,8.694.599.511,5.586.692.088,16.182.932.063,1.120.058.680,49.508.521.338,17924238996.0,8694599511.0,5586692088.0,16182932063.0,1120058680.0,49508521338.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,79.695.851.827,8.880.969.686,871.693.849,79.263.545.897,655.086.100,169.367.147.359,79695851827.0,8880969686.0,871693849.0,79263545897.0,655086100.0,169367147359.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,78.615.299.299,5.650.106.186,9.913.456.194,77.076.772.101,482.576.320,171.738.210.100,78615299299.0,5650106186.0,9913456194.0,77076772101.0,482576320.0,171738210100.0
