row_label_raw,row_label_full,col_0,Tại công ty mẹ (i),Tại Công ty con (ii),Tổng Cộng,numeric__Tại công ty mẹ (i),numeric__Tại Công ty con (ii),numeric__Tổng Cộng
,,,VND,VND,VND,,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",40.585.050.000,20.878.068.098,61.463.118.098,40585050000.0,20878068098.0,61463118098.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,44.270.882.809,46.492.383.549,90.763.266.358,44270882809.0,46492383549.0,90763266358.0
