row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
Op lát Viglacera,Op lát Viglacera,Op lát Viglacera,Op lát Viglacera,Op lát Viglacera,Op lát Viglacera,Op lát Viglacera,,,,
Công ty Cổ phần Việt Trì Viglacera,Op lát Viglacera > Công ty Cổ phần Việt Trì Viglacera,Công ty Cổ phần Việt Trì Viglacera,Phú Thọ,"92,82%","92,82%",Sản xuất và kinh doanh sứ vệ sinh,,0.9281999999999999,0.9281999999999999,
Công ty Cổ phần Sử Viglacera Thanh Trì,Op lát Viglacera > Công ty Cổ phần Sử Viglacera Thanh Trì,Công ty Cổ phần Sử Viglacera Thanh Trì,Hà Nội,"59,96%","59,96%",Sản xuất và kinh doanh sứ vệ sinh,,0.5996,0.5996,
Công ty Cổ phần Thương mại Viglacera,Op lát Viglacera > Công ty Cổ phần Thương mại Viglacera,Công ty Cổ phần Thương mại Viglacera,Hà Nội,"79,83%",100%,Kinh doanh vật liệu xây dựng,,0.7983,1.0,
Công ty Cổ phần Kính Viglacera Đáp Cầu,Op lát Viglacera > Công ty Cổ phần Kính Viglacera Đáp Cầu,Công ty Cổ phần Kính Viglacera Đáp Cầu,Bắc Ninh,"86,41%","86,41%",Sản xuất và kinh doanh kính,,0.8641,0.8641,
Công ty TNHH Một thành viên Lắp dụng Kính Viglacera,Op lát Viglacera > Công ty TNHH Một thành viên Lắp dụng Kính Viglacera,Công ty TNHH Một thành viên Lắp dụng Kính Viglacera,Bắc Ninh,"86,41%",100%,"Kinh doanh, lắp dựng kính xây dựng",,0.8641,1.0,
Công ty Cổ phần Viglacera Hạ Long,Op lát Viglacera > Công ty Cổ phần Viglacera Hạ Long,Công ty Cổ phần Viglacera Hạ Long,Quảng Ninh,"50,48%","50,48%",Sản xuất và kinh doanh gạch,,0.5047999999999999,0.5047999999999999,
Công ty Cổ phần Viglacera Từ Liêm,Op lát Viglacera > Công ty Cổ phần Viglacera Từ Liêm,Công ty Cổ phần Viglacera Từ Liêm,Hà Nội,"55,92%","55,92%",Sản xuất và kinh doanh gạch,,0.5592,0.5592,
Công ty Cổ phần Viglacera Đông Anh,Op lát Viglacera > Công ty Cổ phần Viglacera Đông Anh,Công ty Cổ phần Viglacera Đông Anh,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch,,0.51,0.51,
Công ty Cổ phần Viglacera Hữu Hưng,Op lát Viglacera > Công ty Cổ phần Viglacera Hữu Hưng,Công ty Cổ phần Viglacera Hữu Hưng,Hà Nội,"51,00%","51,00%",Sản xuất và kinh doanh gạch,,0.51,0.51,
Công ty Cổ phần Gạch Clinker Viglacera,Op lát Viglacera > Công ty Cổ phần Gạch Clinker Viglacera,Công ty Cổ phần Gạch Clinker Viglacera,Quảng Ninh,"50,43%","99,92%",Sản xuất và kinh doanh gạch,,0.5043,0.9992,
Công ty TNHH Một thành viên Thương mại Viglacera Hạ Long,Op lát Viglacera > Công ty TNHH Một thành viên Thương mại Viglacera Hạ Long,Công ty TNHH Một thành viên Thương mại Viglacera Hạ Long,Quảng Ninh,"50,48%",100%,Kinh doanh vật liệu xây dựng,,0.5047999999999999,1.0,
Công ty Cổ phần Viglacera Can Lộc,Op lát Viglacera > Công ty Cổ phần Viglacera Can Lộc,Công ty Cổ phần Viglacera Can Lộc,Hà Tĩnh,"57,51%",100%,Sản xuất và kinh doanh gạch,,0.5751,1.0,
Công ty Cổ phần Viglacera Vân Hải,Op lát Viglacera > Công ty Cổ phần Viglacera Vân Hải,Công ty Cổ phần Viglacera Vân Hải,Quảng Ninh,"95,02%","95,02%",Khai thác và kinh doanh cát,,0.9501999999999999,0.9501999999999999,
Công ty Cổ phần Khoáng sản Viglacera,Op lát Viglacera > Công ty Cổ phần Khoáng sản Viglacera,Công ty Cổ phần Khoáng sản Viglacera,Yên Bái,"51,00%","51,00%",Khai thác và kinh doanh khoáng sản,,0.51,0.51,
Công ty Cổ phần Bao bì và Má phanh Viglacera,Op lát Viglacera > Công ty Cổ phần Bao bì và Má phanh Viglacera,Công ty Cổ phần Bao bì và Má phanh Viglacera,Hà Nội,"51,00%","51,00%","Sản xuất và kinh doanh bao bì, má phanh",,0.51,0.51,
Công ty Cổ phần Tư vấn Viglacera,Op lát Viglacera > Công ty Cổ phần Tư vấn Viglacera,Công ty Cổ phần Tư vấn Viglacera,Hà Nội,"76,89%","76,89%","Lập dự án, thiết kế các công trình",,0.7689,0.7689,
Công ty Cổ phần CHAO Viglacera (1.1),Op lát Viglacera > Công ty Cổ phần CHAO Viglacera (1.1),Công ty Cổ phần CHAO Viglacera (1.1),Hà Nội,100%,"51,00 %","Dịch vụ du lịch, nhà hàng",,1.0,0.51,
Công ty Cổ phần Phát triển Khu Công nghiệp Viglacera Yên Mỹ - Hưng Yên,Op lát Viglacera > Công ty Cổ phần Phát triển Khu Công nghiệp Viglacera Yên Mỹ - Hưng Yên,Công ty Cổ phần Phát triển Khu Công nghiệp Viglacera Yên Mỹ - Hưng Yên,Hung Yên,"60,00%","60,00 %","Đầu tư xây dựng, cho thuê cơ sở hạ tầng khu công nghiệp",,0.6,0.6,
Công ty TNHH Thi công Hạ tầng Viglacera Yên Mỹ,Op lát Viglacera > Công ty TNHH Thi công Hạ tầng Viglacera Yên Mỹ,Công ty TNHH Thi công Hạ tầng Viglacera Yên Mỹ,Hung Yên,"60,00%",100 %,Đầu tư xây dựng,,0.6,1.0,
Công ty ViMariel - CTCP (1.2),Op lát Viglacera > Công ty ViMariel - CTCP (1.2),Công ty ViMariel - CTCP (1.2),Cộng hòa Cuba,100%,"99,90%","Đầu tư xây dựng, cho thuê cơ sở hạ tầng khu công nghiệp",,1.0,0.9990000000000001,
