row_label_raw,row_label_full,col_0,"Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Cộng,"numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn",numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,190.331.164.549,29.737.891.672,220.069.056.221,190331164549.0,29737891672.0,220069056221.0
- Thuê tài chính trong năm,Nguyên giá > - Thuê tài chính trong năm,- Thuê tài chính trong năm,62.824.030.365,4.027.841.818,66.851.872.183,62824030365.0,4027841818.0,66851872183.0
- Phân loại lại,Nguyên giá > - Phân loại lại,- Phân loại lại,(2.400.000.000),2.400.000.000,-,-2400000000.0,2400000000.0,
- Mua lại TSCĐ thuê tài chính,Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(17.837.409.414),(5.270.901.819),(23.108.311.233),-17837409414.0,-5270901819.0,-23108311233.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,232.917.785.500,30.894.831.671,263.812.617.171,232917785500.0,30894831671.0,263812617171.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,43.578.254.387,9.418.680.762,52.996.935.149,43578254387.0,9418680762.0,52996935149.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,27.078.514.170,5.048.713.911,32.127.228.081,27078514170.0,5048713911.0,32127228081.0
- Mua lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(13.882.024.344),(3.059.435.251),(16.941.459.595),-13882024344.0,-3059435251.0,-16941459595.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,56.774.744.213,11.407.959.422,68.182.703.635,56774744213.0,11407959422.0,68182703635.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,146.752.910.162,20.319.210.910,167.072.121.072,146752910162.0,20319210910.0,167072121072.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,176.143.041.287,19.486.872.249,195.629.913.536,176143041287.0,19486872249.0,195629913536.0
