row_label_raw,row_label_full,a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,31/12/2020 > Giá trịVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,31/12/2020 > Dự phòngVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,01/01/2020 > Giá trịVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,01/01/2020 > Dự phòngVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,numeric__31/12/2020 > Giá trịVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,numeric__31/12/2020 > Dự phòngVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,numeric__01/01/2020 > Giá trịVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,numeric__01/01/2020 > Dự phòngVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn
"- Khách hàng thuê,mua nhà","- Khách hàng thuê,mua nhà","- Khách hàng thuê,mua nhà",126.429.240.648,(1.122.021.527),188.944.255.123,-,126429240648.0,-1122021527.0,188944255123.0,
"- Khách hàng thuêhạ tầng KCN, nhàxưởng","- Khách hàng thuêhạ tầng KCN, nhàxưởng","- Khách hàng thuêhạ tầng KCN, nhàxưởng",158.807.545.036,(1.048.703.297),168.435.604.121,(3.452.858.806),158807545036.0,-1048703297.0,168435604121.0,-3452858806.0
- Các khoản phải thukhách hàng khác,- Các khoản phải thukhách hàng khác,- Các khoản phải thukhách hàng khác,534.526.566.551,(173.388.081.134),527.982.320.852,(142.256.027.441),534526566551.0,-173388081134.0,527982320852.0,-142256027441.0
,,,819.763.352.235,(175.558.805.958),885.362.180.096,(145.708.886.247),819763352235.0,-175558805958.0,885362180096.0,-145708886247.0
b) Trong đó: Phải thu của khách hàng là,b) Trong đó: Phải thu của khách hàng là,b) Trong đó: Phải thu của khách hàng là,b) Trong đó: Phải thu của khách hàng là,b) Trong đó: Phải thu của khách hàng là,b) Trong đó: Phải thu của khách hàng là,b) Trong đó: Phải thu của khách hàng là,,,,
các bên liên quan,b) Trong đó: Phải thu của khách hàng là > các bên liên quan,các bên liên quan,20.565.965.270,-,12.128.358.031,-,20565965270.0,,12128358031.0,
