row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Tài sản cố địnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Tài sản cố địnhkhác,numeric__Cộng
Số dư đầu năm (đã điều chỉnh),Giá trị hao mòn luỹ kế > Số dư đầu năm (đã điều chỉnh),Số dư đầu năm (đã điều chỉnh),1.586.407.864.480,3.158.210.830.230,188.724.781.147,21.457.185.717,5.995.510.338,4.960.796.171.912,1586407864480.0,3158210830230.0,188724781147.0,21457185717.0,5995510338.0,4960796171912.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,160.247.096.858,255.409.816.611,14.915.873.261,1.440.557.574,682.528.535,432.695.872.839,160247096858.0,255409816611.0,14915873261.0,1440557574.0,682528535.0,432695872839.0
- Mua lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,-,13.882.024.344,3.059.435.251,-,-,16.941.459.595,,13882024344.0,3059435251.0,,,16941459595.0
- Phân loại lại,Giá trị hao mòn luỹ kế > - Phân loại lại,- Phân loại lại,199.987.871,209.523.698,(112.901.656),(380.475.737),-,(83.865.824),199987871.0,209523698.0,-112901656.0,-380475737.0,,-83865824.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(9.762.433.711),(52.209.170.929),(6.674.103.143),(15.326.514.217),-,(83.972.222.000),-9762433711.0,-52209170929.0,-6674103143.0,-15326514217.0,,-83972222000.0
- Giảm do thoái vốn công ty con,Giá trị hao mòn luỹ kế > - Giảm do thoái vốn công ty con,- Giảm do thoái vốn công ty con,(19.956.843.728),(21.191.075.587),(6.124.795.879),(623.758.341),-,(47.896.473.535),-19956843728.0,-21191075587.0,-6124795879.0,-623758341.0,,-47896473535.0
- Giảm khác,Giá trị hao mòn luỹ kế > - Giảm khác,- Giảm khác,-,(56.114.470),(25.962.033),-,(70.497),(82.147.000),,-56114470.0,-25962033.0,,-70497.0,-82147000.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,1.717.135.671.770,3.354.255.833.897,193.762.326.948,6.566.994.996,6.677.968.376,5.278.398.795.987,1717135671770.0,3354255833897.0,193762326948.0,6566994996.0,6677968376.0,5278398795987.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.756.771.956.485,1.832.402.164.046,62.464.849.707,3.030.575.825,1.563.950.537,3.656.233.496.600,1756771956485.0,1832402164046.0,62464849707.0,3030575825.0,1563950537.0,3656233496600.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.734.649.073.360,1.629.455.760.957,64.110.028.049,2.557.349.995,881.387.499,3.431.653.599.860,1734649073360.0,1629455760957.0,64110028049.0,2557349995.0,881387499.0,3431653599860.0
