row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,31/12/2020 > VND,01/01/2020(Đã điều chỉnh) > VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__31/12/2020 > VND,numeric__01/01/2020(Đã điều chỉnh) > VND
100,100,100,A. TÀI SẢN NGẮN HẠN,,6.816.049.249.285,7.580.602.325.654,,,6816049249285.0,7580602325654.0
110,110,110,I. Tiền và các khoản tương đương tiền,3,1.950.330.301.763,2.710.172.050.345,,3.0,1950330301763.0,2710172050345.0
111,111,111,1. Tiền,,1.137.490.733.370,1.387.690.320.608,,,1137490733370.0,1387690320608.0
112,112,112,2. Các khoản tương đương tiền,,812.839.568.393,1.322.481.729.737,,,812839568393.0,1322481729737.0
120,120,120,II. Các khoản đầu tư tài chính ngắn hạn,4,80.875.556.624,90.396.034.246,,4.0,80875556624.0,90396034246.0
123,123,123,1. Đầu tư nằm giữ đến ngày đáo hạn,,80.875.556.624,90.396.034.246,,,80875556624.0,90396034246.0
130,130,130,III. Các khoản phải thu ngắn hạn,,1.011.612.879.167,1.147.539.612.774,,,1011612879167.0,1147539612774.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,5,819.763.352.235,885.362.180.096,,5.0,819763352235.0,885362180096.0
132,132,132,2. Trả trước cho người bán ngắn hạn,6,234.475.212.702,239.611.339.422,,6.0,234475212702.0,239611339422.0
135,135,135,3. Phải thu về cho vay ngắn hạn,7,1.898.756.747,2.348.756.747,,7.0,1898756747.0,2348756747.0
136,136,136,4. Phải thu ngắn hạn khác,8,207.134.420.530,208.482.063.472,,8.0,207134420530.0,208482063472.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,,(251.689.553.047),(188.567.877.859),,,-251689553047.0,-188567877859.0
139,139,139,6. Tài sản thiếu chờ xử lý,,30.690.000,303.150.896,,,30690000.0,303150896.0
140,140,140,IV. Hàng tồn kho,10,3.415.167.495.785,3.359.514.287.927,,10.0,3415167495785.0,3359514287927.0
141,141,141,1. Hàng tồn kho,,3.499.733.032.713,3.417.110.592.636,,,3499733032713.0,3417110592636.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,(84.565.536.928),(57.596.304.709),,,-84565536928.0,-57596304709.0
150,150,150,V. Tài sản ngắn hạn khác,,358.063.015.946,272.980.340.362,,,358063015946.0,272980340362.0
151,151,151,1. Chi phí trả trước ngắn hạn,11,53.663.717.839,39.624.962.697,,11.0,53663717839.0,39624962697.0
152,152,152,2. Thuế GTGT được khấu trừ,,252.817.544.285,184.255.572.135,,,252817544285.0,184255572135.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,18,51.581.753.822,49.099.805.530,,18.0,51581753822.0,49099805530.0
