row_label_raw,row_label_full,STT,Tên công ty,Dịa chỉ,Hoạt động chính,31/12/2017 > Tỷ lệ biểu quyết,31/12/2017 > Tỷ lệ sở hữu,31/12/2017 > Giá trị đầu tư theo phương pháp vốn chủ VND,31/12/2017 > Dự phòng VND,31/12/2017 > Giá trị hợp lý VND,31/12/2017 > Tỷ lệ biểu quyết_1,1/1/2017 > Tỷ lệ sở hữu,1/1/2017 > Giá trị đầu tư theo phương pháp vốn chủ VND,1/1/2017 > Dự phòng VND,1/1/2017 > Giá trị hợp lý VND,numeric__Tên công ty,numeric__Dịa chỉ,numeric__Hoạt động chính,numeric__31/12/2017 > Tỷ lệ biểu quyết,numeric__31/12/2017 > Tỷ lệ sở hữu,numeric__31/12/2017 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__31/12/2017 > Dự phòng VND,numeric__31/12/2017 > Giá trị hợp lý VND,numeric__31/12/2017 > Tỷ lệ biểu quyết_1,numeric__1/1/2017 > Tỷ lệ sở hữu,numeric__1/1/2017 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__1/1/2017 > Dự phòng VND,numeric__1/1/2017 > Giá trị hợp lý VND
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,,,,,,,,,
1,Công ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,TP Hồ Chí Minh,Chế biến các sản phẩm dấu nhóm,35.00%,35.00%,274.448.634.715,-,(*),35.00%,35.00%,413.355.234.965,-,(*),,,,35.0,35.0,274448634715.0,,,35.0,35.0,413355234965.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Ngân hàng Thương mại Cò phần Xăng dầu Petrolimex (i),Hà Nội,Kinh doanh dịch vụ ngân hàng,40.00%,40.00%,1.423.938.546.859,-,(*),41.85%,40.57%,1.457.775.675.488,-,(*),,,,40.0,40.0,1423938546859.0,,,41.85,40.57,1457775675488.0,,
2,Công ty liên kết > 2,2,Công ty CP Thương mại Dịch vụ Chợ Gao (ii),Tiền Giang,Kinh doanh xăng dầu,0.00%,0.00%,-,-,(*),29.20%,29.20%,4.220.400.000,-,(*),,,,0.0,0.0,,,,29.2,29.2,4220400000.0,,
3,Công ty liên kết > 3,3,Công ty TNHH Thương mại Xây lập Diện máy Tháng Long (ii),TP Hồ Chí Minh,Xây dựng và cung cấp thiết bị,0.00%,0.00%,-,-,(*),44.44%,13.33%,400.000.000,(400.000.000),(*),,,,0.0,0.0,,,,44.44,13.33,400000000.0,-400000000.0,
4,Công ty liên kết > 4,4,Công ty CP TMDV Sửa chữa Ô tô Việt Nam (ii),Hà Nội,Sửa chữa ô tô,40.00%,40.00%,1.800.000.000,(261.917.003),1.538.082.997,35.55%,35.55%,3.150.000.000,(261.917.003),(*),,,,40.0,40.0,1800000000.0,-261917003.0,1538082997.0,35.55,35.55,3150000000.0,-261917003.0,
5,Công ty liên kết > 5,5,Công ty CP Thương mại Tuyên Quang,Tuyên Quang,Kinh doanh thương mại,27.73%,27.73%,1.892.671.550,-,(*),27.73%,27.73%,1.832.887.337,-,(*),,,,27.73,27.73,1892671550.0,,,27.73,27.73,1832887337.0,,
6,Công ty liên kết > 6,6,Công ty CP Vương Mê Kông (ii),Tiền Giang,Mua bán hàng hóa,40.00%,40.00%,11.220.000.000,(539.237.357),10.680.762.643,40.00%,21.60%,12.900.000.000,(825.186.172),(*),,,,40.0,40.0,11220000000.0,-539237357.0,10680762643.0,40.0,21.6,12900000000.0,-825186172.0,
7,Công ty liên kết > 7,7,Công ty CP Bất động san Nghệ An,Nghệ An,Kinh doanh bất động san,47.50%,47.50%,4.212.934.279,-,(*),47.50%,25.65%,4.199.635.261,-,(*),,,,47.5,47.5,4212934279.0,,,47.5,25.65,4199635261.0,,
