row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác VND,Cổ phiếu quỹ VND,Chênh lệch đánh giá lại tài sản (i) VND,Chênh lệch tỷ giá hối đoai VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc văn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch đánh giá lại tài sản (i) VND,numeric__Chênh lệch tỷ giá hối đoai VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc văn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,10.700.000.000.000,164.462.417,866.234.135.320,-,(1.317.118.937.352),(65.910.358.919),686.086.586.574,57.603.752.588,2.822.825.501.069,2.881.901.905.371,16.631.787.047.068,10700000000000.0,164462417.0,866234135320.0,,-1317118937352.0,-65910358919.0,686086586574.0,57603752588.0,2822825501069.0,2881901905371.0,16631787047068.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,1.035.284.760.000,3.004.085.788.092,-,-,-,-,-,-,-,21.377.140.473,4.060.747.688.565,1035284760000.0,3004085788092.0,,,,,,,,21377140473.0,4060747688565.0
Các chỉ phí trực tiếp liên quan đến việc phát hành cổ phiếu,Các chỉ phí trực tiếp liên quan đến việc phát hành cổ phiếu,Các chỉ phí trực tiếp liên quan đến việc phát hành cổ phiếu,-,(620.000.000),-,-,-,-,-,-,-,-,(620.000.000),,-620000000.0,,,,,,,,,-620000000.0
Điều ctanh giam vốn cổ phần thiếu chưa phát hành của Nhà nước,Điều ctanh giam vốn cổ phần thiếu chưa phát hành của Nhà nước,Điều ctanh giam vốn cổ phần thiếu chưa phát hành của Nhà nước,(347.152.410.000),-,-,-,-,-,-,-,-,-,(347.152.410.000),-347152410000.0,,,,,,,,,,-347152410000.0
Phát hành cổ phiếu ưu đãi hoàn lại tư lợi nhuận sau thuế,Phát hành cổ phiếu ưu đãi hoàn lại tư lợi nhuận sau thuế,Phát hành cổ phiếu ưu đãi hoàn lại tư lợi nhuận sau thuế,-,-,-,-,-,-,-,-,(1.550.648.460.000),-,(1.550.648.460.000),,,,,,,,,-1550648460000.0,,-1550648460000.0
Mua lại cổ phiếu ưu đãi hoàn lại và chuyên đối thành cổ phiếu phổ thông,Mua lại cổ phiếu ưu đãi hoàn lại và chuyên đối thành cổ phiếu phổ thông,Mua lại cổ phiếu ưu đãi hoàn lại và chuyên đối thành cổ phiếu phổ thông,1.550.648.460.000,-,-,(1.550.648.460.000),-,-,-,-,-,-,-,1550648460000.0,,,-1550648460000.0,,,,,,,
Lợi nhuận thuần trọng,Lợi nhuận thuần trọng,Lợi nhuận thuần trọng,-,-,-,-,-,-,-,-,4.669.396.347.454,478.037.274.857,5.147.433.622.311,,,,,,,,,4669396347454.0,478037274857.0,5147433622311.0
Chênh lệch ty giá hồi đoai phát sinh do việc quy đối các hoạt động o nước ngoài,Chênh lệch ty giá hồi đoai phát sinh do việc quy đối các hoạt động o nước ngoài,Chênh lệch ty giá hồi đoai phát sinh do việc quy đối các hoạt động o nước ngoài,-,-,-,-,-,(7.926.590.086),-,-,-,-,(7.926.590.086),,,,,,-7926590086.0,,,,,-7926590086.0
Cổ tục,Cổ tục,Cổ tục,-,-,-,-,-,-,-,-,(93.035.083.760),(56.927.094.345),(149.962.178.105),,,,,,,,,-93035083760.0,-56927094345.0,-149962178105.0
Cổ phiếu thưởng,Cổ phiếu thưởng,Cổ phiếu thưởng,-,-,88.500.000.000,-,-,-,(81.347.418.133),-,(7.152.581.867),-,-,,,88500000000.0,,,,-81347418133.0,,-7152581867.0,,
Phân hồ vào các quỹ,Phân hồ vào các quỹ,Phân hồ vào các quỹ,-,-,-,-,-,-,173.777.307.892,15.438.333.430,(189.215.641.322),-,-,,,,,,,173777307892.0,15438333430.0,-189215641322.0,,
"Phân hồ vào quỹ khên thương, phúc lợi","Phân hồ vào quỹ khên thương, phúc lợi","Phân hồ vào quỹ khên thương, phúc lợi",-,-,-,-,-,-,-,-,(361.889.981.856),(44.507.819.853),(406.397.801.709),,,,,,,,,-361889981856.0,-44507819853.0,-406397801709.0
Tăng vòu từ quỹ đầu tư phát triển,Tăng vòu từ quỹ đầu tư phát triển,Tăng vòu từ quỹ đầu tư phát triển,-,-,22.836.789.207,-,-,-,(22.836.789.207),-,-,-,-,,,22836789207.0,,,,-22836789207.0,,,,
Thời vốn của cổ đông thiểu số,Thời vốn của cổ đông thiểu số,Thời vốn của cổ đông thiểu số,-,-,-,-,-,-,-,-,-,(41.250.000.000),(41.250.000.000),,,,,,,,,,-41250000000.0,-41250000000.0
Các biển đông khác về vốn chu sở hữu,Các biển đông khác về vốn chu sở hữu,Các biển đông khác về vốn chu sở hữu,-,-,12.542.983.193,-,-,-,(11.987.893.521),7.952.634.979,(128.067.996.611),(15.845.597.046),(135.405.869.006),,,12542983193.0,,,,-11987893521.0,7952634979.0,-128067996611.0,-15845597046.0,-135405869006.0
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,12.938.780.810.000,3.003.630.250.509,990.113.907.720,(1.550.648.460.000),(1.317.118.937.352),(73.836.949.005),743.691.793.605,80.994.720.997,5.162.212.103.107,3.222.785.809.457,23.200.605.049.038,12938780810000.0,3003630250509.0,990113907720.0,-1550648460000.0,-1317118937352.0,-73836949005.0,743691793605.0,80994720997.0,5162212103107.0,3222785809457.0,23200605049038.0
Cổ phiếu quỹ hán ra trong năm (Thuyết minh 23),Cổ phiếu quỹ hán ra trong năm (Thuyết minh 23),Cổ phiếu quỹ hán ra trong năm (Thuyết minh 23),-,811.067.745.500,-,200.000.000.000,-,-,-,-,-,-,1.011.067.745.500,,811067745500.0,,200000000000.0,,,,,,,1011067745500.0
Các chỉ phù trực tiếp liên quan đến việc phát hành lại cổ phiếu quỹ,Các chỉ phù trực tiếp liên quan đến việc phát hành lại cổ phiếu quỹ,Các chỉ phù trực tiếp liên quan đến việc phát hành lại cổ phiếu quỹ,-,(1.664.309.589),-,-,-,-,-,-,-,-,(1.664.309.589),,-1664309589.0,,,,,,,,,-1664309589.0
Lợi nhuận thuần trọng năm,Lợi nhuận thuần trọng năm,Lợi nhuận thuần trọng năm,-,-,-,-,-,-,-,-,3.468.269.610.133,443.393.090.327,3.911.662.700.460,,,,,,,,,3468269610133.0,443393090327.0,3911662700460.0
Đồng tháng dư đếng cổ phần tái cấu trắc công ty con (so hữu 100% vàn).,Đồng tháng dư đếng cổ phần tái cấu trắc công ty con (so hữu 100% vàn).,Đồng tháng dư đếng cổ phần tái cấu trắc công ty con (so hữu 100% vàn).,-,(1.566.036.132.797),-,-,-,-,-,-,1.566.036.132.797,-,-,,-1566036132797.0,,,,,,,1566036132797.0,,
Chênh lệch ty giá hồi đoai phát sinh do việc quy đối các hoạt động o nước ngoài,Chênh lệch ty giá hồi đoai phát sinh do việc quy đối các hoạt động o nước ngoài,Chênh lệch ty giá hồi đoai phát sinh do việc quy đối các hoạt động o nước ngoài,-,-,-,-,-,79.262.876.853,-,-,-,-,79.262.876.853,,,,,,79262876853.0,,,,,79262876853.0
Cổ tục (Thuyết minh 24),Cổ tục (Thuyết minh 24),Cổ tục (Thuyết minh 24),-,-,-,-,-,-,-,-,(3.736.013.869.640),(268.565.128.399),(4.004.578.998.039),,,,,,,,,-3736013869640.0,-268565128399.0,-4004578998039.0
Cổ phiếu thưởng,Cổ phiếu thưởng,Cổ phiếu thưởng,-,-,4.283.717.700,-,-,-,-,-,(4.283.717.700),-,-,,,4283717700.0,,,,,,-4283717700.0,,
Phân hồ vào các quỹ (Thuyết minh 25),Phân hồ vào các quỹ (Thuyết minh 25),Phân hồ vào các quỹ (Thuyết minh 25),-,-,-,-,-,-,206.492.694.929,1.252.002.338.768,(1.458.495.033.697),-,-,,,,,,,206492694929.0,1252002338768.0,-1458495033697.0,,
"Phân hồ vào quỹ khên thưởng, phúc lợi","Phân hồ vào quỹ khên thưởng, phúc lợi","Phân hồ vào quỹ khên thưởng, phúc lợi",-,-,-,-,-,-,-,-,(393.243.150.840),(45.509.258.595),(438.752.409.435),,,,,,,,,-393243150840.0,-45509258595.0,-438752409435.0
Tăng vốn tư quỹ đầu tư phát triển,Tăng vốn tư quỹ đầu tư phát triển,Tăng vốn tư quỹ đầu tư phát triển,-,-,7.500.000.000,-,-,-,(7.500.000.000),-,-,-,-,,,7500000000.0,,,,-7500000000.0,,,,
Biển đồng do mất quyền kiểm soát các công ty con,Biển đồng do mất quyền kiểm soát các công ty con,Biển đồng do mất quyền kiểm soát các công ty con,-,-,130.512.608.377,-,-,-,(5.135.743.860),(4.478.235.338),(4.712.439.131),(552.906.900.638),(436.720.710.590),,,130512608377.0,,,,-5135743860.0,-4478235338.0,-4712439131.0,-552906900638.0,-436720710590.0
Cổ đông không kiểm soát góp vốn trong năm,Cổ đông không kiểm soát góp vốn trong năm,Cổ đông không kiểm soát góp vốn trong năm,-,-,-,-,-,-,-,-,-,35.562.201.567,35.562.201.567,,,,,,,,,,35562201567.0,35562201567.0
Các biển đông khác về vốn chu sở hữu,Các biển đông khác về vốn chu sở hữu,Các biển đông khác về vốn chu sở hữu,-,-,-,-,-,-,14.138.444.904,4.706.754.745,(21.200.080.828),29.895.900.366,27.541.019.187,,,,,,,14138444904.0,4706754745.0,-21200080828.0,29895900366.0,27541019187.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,12.938.780.810.000,2.246.997.553.623,1.132.410.233.797,(1.350.648.460.000),(1.317.118.937.352),5.425.927.848,951.687.189.578,1.333.225.579.172,4.578.569.554.201,2.864.655.714.085,23.383.985.164.952,12938780810000.0,2246997553623.0,1132410233797.0,-1350648460000.0,-1317118937352.0,5425927848.0,951687189578.0,1333225579172.0,4578569554201.0,2864655714085.0,23383985164952.0
