row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Bản quyền phần mềm VND,Phần mềm máy vi tính VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Bản quyền phần mềm VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.872.522.770.432,13.659.067.200,459.417.963.172,27.349.430.780,2.372.949.231.584,1872522770432.0,13659067200.0,459417963172.0,27349430780.0,2372949231584.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,180.392.407.953,683.836.000,37.581.443.616,1.810.216.535,220.467.904.104,180392407953.0,683836000.0,37581443616.0,1810216535.0,220467904104.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,48.358.117.064,-,12.008.676.271,-,60.366.793.335,48358117064.0,,12008676271.0,,60366793335.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,16.763.157.384,-,-,-,16.763.157.384,16763157384.0,,,,16763157384.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(10.920.670.163),-,(3.950.806.956),(168.000.000),(15.039.477.119),-10920670163.0,,-3950806956.0,-168000000.0,-15039477119.0
Giảm do mất quyền kiểm soát tại các công ty con (Thuyết minh 5),Nguyên giá > Giảm do mất quyền kiểm soát tại các công ty con (Thuyết minh 5),Giảm do mất quyền kiểm soát tại các công ty con (Thuyết minh 5),(126.600.353.404),(440.000.000),(30.678.952.776),(303.005.000),(158.022.311.180),-126600353404.0,-440000000.0,-30678952776.0,-303005000.0,-158022311180.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(10.353.096.286),(1.584.471.000),3.141.398.549,(688.540.049),(9.484.708.786),-10353096286.0,-1584471000.0,3141398549.0,-688540049.0,-9484708786.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.970.162.332.980,12.318.432.200,477.519.721.876,28.000.102.266,2.488.000.589.322,1970162332980.0,12318432200.0,477519721876.0,28000102266.0,2488000589322.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,142.005.043.901,7.117.172.635,311.516.081.913,17.612.852.326,478.251.150.775,142005043901.0,7117172635.0,311516081913.0,17612852326.0,478251150775.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,19.348.496.210,842.387.453,81.756.346.633,1.287.585.380,103.234.815.676,19348496210.0,842387453.0,81756346633.0,1287585380.0,103234815676.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,1.001.092.666,-,-,-,1.001.092.666,1001092666.0,,,,1001092666.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(27.526.557),-,(3.933.467.155),(168.000.000),(4.128.993.712),-27526557.0,,-3933467155.0,-168000000.0,-4128993712.0
Giảm do mất quyền kiểm soát tại các công ty con (Thuyết minh 5),Giá trị hao mòn lũy kế > Giảm do mất quyền kiểm soát tại các công ty con (Thuyết minh 5),Giảm do mất quyền kiểm soát tại các công ty con (Thuyết minh 5),(2.082.634.929),(440.000.000),(24.503.124.901),(101.825.776),(27.127.585.606),-2082634929.0,-440000000.0,-24503124901.0,-101825776.0,-27127585606.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(8.289.769.226),(882.281.274),1.344.351.675,(451.214.784),(8.278.913.609),-8289769226.0,-882281274.0,1344351675.0,-451214784.0,-8278913609.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,151.954.702.065,6.637.278.814,366.180.188.165,18.179.397.146,542.951.566.190,151954702065.0,6637278814.0,366180188165.0,18179397146.0,542951566190.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.730.517.726.531,6.541.894.565,147.901.881.259,9.736.578.454,1.894.698.080.809,1730517726531.0,6541894565.0,147901881259.0,9736578454.0,1894698080809.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.818.207.630.915,5.681.153.386,111.339.533.711,9.820.705.120,1.945.049.023.132,1818207630915.0,5681153386.0,111339533711.0,9820705120.0,1945049023132.0
