row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,Hoạt động chính,31/12/2017,31/12/2017_1,1/1/2017,1/1/2017_1,numeric__Tên Công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__31/12/2017,numeric__31/12/2017_1,numeric__1/1/2017,numeric__1/1/2017_1
STT,STT,STT,Tên Công ty,Địa chỉ,Hoạt động chính,Tỷ lệ biểu quyết,Tỷ lệ sở hữu,Tỷ lệ biểu quyết,Tỷ lệ sở hữu,,,,,,,
1,STT > 1,1,Tổng Công ty Vận tải thủy Petrolimex,Hà Nội,Vận tải xăng dầu,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
2,STT > 2,2,Công ty LD TNHH Kho Xăng dầu Ngoại quan Vân Phong,Khánh Hòa,"Lưu trữ, mua bán xăng tại cửa khấu",85.00%,85.00%,90.00%,87.56%,,,,85.0,85.0,90.0,87.56
3,STT > 3,3,Tổng Công ty Hóa dầu Petrolimex – CTCP,Hà Nội,Kinh doanh các sản phẩm từ hóa dầu,79.07%,79.07%,79.07%,79.07%,,,,79.07,79.07,79.07,79.07
4,STT > 4,4,Tổng Công ty Gas Petrolimex – CTCP,Hà Nội,Mua bán sản phẩm gas,52.37%,52.37%,52.37%,52.37%,,,,52.37,52.37,52.37,52.37
5,STT > 5,5,Tổng Công ty Dịch vụ Xăng dầu Petrolimex (i),Hà Nội,Vận tải xăng dầu,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
6,STT > 6,6,Công ty TNHH MTV Petrolimex Singapore (“PLS”),Singapore,Kinh doanh xăng dầu,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
7,STT > 7,7,Công ty CP Đầu tư và Dịch vụ Hạ tầng Xăng dầu,Hà Nội,Kinh doanh bất động sản,51.00%,51.00%,58.75%,54.31%,,,,51.0,51.0,58.75,54.31
8,STT > 8,8,Công ty CP Nhiên liệu bay Petrolimex,Hà Nội,Cung cấp nhiên liệu bay cho các hăng hàng không,59.00%,59.00%,59.00%,59.00%,,,,59.0,59.0,59.0,59.0
9,STT > 9,9,Công ty CP Xuất nhập khẩu Petrolimex,TP Hồ Chí Minh,Kinh doanh xuất nhập khấu,52.67%,52.67%,52.67%,52.67%,,,,52.67,52.67,52.67,52.67
10,STT > 10,10,Công ty TNHH MTV Petrolimex Lào,Lào,Kinh doanh xăng dầu,100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
