row_label_raw,row_label_full,Thuế giá trị gia tăng đầu ra > Thuế giá trị gia tăng hàng nhập khẩu,1/1/2017VND > (226.869.829.763) > 321.175.863.531,Số phát sinh trong năm VND > (3.367.777.921.679) > (7.094.363.871.065),Giảm do mất quyền kiểm soát tại các công ty con (Thuyết minh 5) VND > 17.395.355.442 > -,Số đã nộp trong năm VND > 3.391.188.709.440 > 7.016.540.172.205,31/12/2017VND > (186.063.686.560) > 243.352.164.671,numeric__1/1/2017VND > (226.869.829.763) > 321.175.863.531,numeric__Số phát sinh trong năm VND > (3.367.777.921.679) > (7.094.363.871.065),numeric__Giảm do mất quyền kiểm soát tại các công ty con (Thuyết minh 5) VND > 17.395.355.442 > -,numeric__Số đã nộp trong năm VND > 3.391.188.709.440 > 7.016.540.172.205,numeric__31/12/2017VND > (186.063.686.560) > 243.352.164.671
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,336.667.603.790,(3.082.137.718.912),-,3.014.262.981.423,268.792.866.301,336667603790.0,-3082137718912.0,,3014262981423.0,268792866301.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,1.428.147.032.643,(2.646.112.930.140),(155.549),3.542.382.235.198,2.324.416.182.152,1428147032643.0,-2646112930140.0,-155549.0,3542382235198.0,2324416182152.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(444.780.610.390),(894.833.667.465),14.627.387.021,1.118.582.308.573,(206.404.582.261),-444780610390.0,-894833667465.0,14627387021.0,1118582308573.0,-206404582261.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(14.153.325.294),(92.146.125.477),1.163.951.777,89.885.166.330,(15.250.332.664),-14153325294.0,-92146125477.0,1163951777.0,89885166330.0,-15250332664.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,(80.735.568.673),(236.796.411.305),2.094.724.910,249.968.826.351,(65.468.428.717),-80735568673.0,-236796411305.0,2094724910.0,249968826351.0,-65468428717.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,(1.233.858.735.876),(20.376.543.146.035),-,20.442.381.630.493,(1.168.020.251.418),-1233858735876.0,-20376543146035.0,,20442381630493.0,-1168020251418.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,(25.953.097.570),(389.939.636.344),121.357.968,400.277.745.401,(15.493.630.545),-25953097570.0,-389939636344.0,121357968.0,400277745401.0,-15493630545.0
,,,59.639.332.398,(38.180.651.428.422),35.402.621.569,39.265.469.775.414,1.179.860.300.959,59639332398.0,-38180651428422.0,35402621569.0,39265469775414.0,1179860300959.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Thuế và các khoản khác phải thu Nhà nước,Trong đó: > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,2.156.306.559.062,,,,2.910.198.024.758,2156306559062.0,,,,2910198024758.0
Thuế và các khoản phải nộp Nhà nước,Trong đó: > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,(2.096.667.226.664),,,,(1.730.337.723.799),-2096667226664.0,,,,-1730337723799.0
,,,59.639.332.398,,,,1.179.860.300.959,59639332398.0,,,,1179860300959.0
