row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Hoạt động chính,31/12/2017 > Giá gốc VND,31/12/2017 > Dự phòng VND,31/12/2017 > Giá trị hợp lý VND,1/1/2017 > Giá gốc VND,1/1/2017 > Dự phòng VND,1/1/2017 > Giá trị hợp lý VND,numeric__Tên công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__31/12/2017 > Giá gốc VND,numeric__31/12/2017 > Dự phòng VND,numeric__31/12/2017 > Giá trị hợp lý VND,numeric__1/1/2017 > Giá gốc VND,numeric__1/1/2017 > Dự phòng VND,numeric__1/1/2017 > Giá trị hợp lý VND
1,1,1,Công ty Cổ phần Hóa dầu Quân đội,Hà Nội,Kinh doanh xăng dầu,50.000.000.000,-,(*),50.000.000.000,-,(*),,,,50000000000.0,,,50000000000.0,,
2,2,2,Ngân hàng TMCP Xuất nhập khẩu Việt Nam (Eximbank),TP Hồ Chí Minh,Kinh doanh dịch vụ ngân hàng,49.913.937.200,-,31.258.729.471,49.913.937.200,-,22.239.412.272,,,,49913937200.0,,31258729471.0,49913937200.0,,22239412272.0
3,3,3,Công ty Cổ phần An Phú,Hà Nội,Kinh doanh xăng dầu,110.724.000.000,(104.914.500.000),(*),110.724.000.000,(105.560.000.000),(*),,,,110724000000.0,-104914500000.0,,110724000000.0,-105560000000.0,
4,4,4,Các công ty khác,,,104.558.520.065,(5.056.607.706),(*),145.036.338.416,(8.107.914.744),(*),,,,104558520065.0,-5056607706.0,,145036338416.0,-8107914744.0,
,,,,,,315.196.457.265,(109.971.107.706),(*),355.674.275.616,(113.667.914.744),(*),,,,315196457265.0,-109971107706.0,,355674275616.0,-113667914744.0,
