row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sâncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sâncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.566.590.478.733,3.662.625.865.404,12.488.402.774.566,480.057.997.243,26.494.441.704,28.224.171.557.650,11566590478733.0,3662625865404.0,12488402774566.0,480057997243.0,26494441704.0,28224171557650.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,516.357.818.765,158.895.458.185,592.473.481.120,63.420.080.817,1.431.005.685,1.332.577.844.572,516357818765.0,158895458185.0,592473481120.0,63420080817.0,1431005685.0,1332577844572.0
Chuyển từ chi phí xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang,Chuyển từ chi phí xây dựng cơ bảnđở dang,536.264.423.317,120.881.306.987,85.455.154.552,29.498.509.015,1.546.148.668,773.645.542.539,536264423317.0,120881306987.0,85455154552.0,29498509015.0,1546148668.0,773645542539.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(2.050.164.796),81.390.183.917,(79.340.019.121),-,-,,-2050164796.0,81390183917.0,-79340019121.0,,
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(67.718.885.634),(26.419.498.286),(57.460.457.316),(8.329.363.780),(125.588.320),(160.053.793.336),-67718885634.0,-26419498286.0,-57460457316.0,-8329363780.0,-125588320.0,-160053793336.0
Giảm do mất quyền kiểm soát tại cáccông ty con (Thuyết minh 5),Nguyên giá > Giảm do mất quyền kiểm soát tại cáccông ty con (Thuyết minh 5),Giảm do mất quyền kiểm soát tại cáccông ty con (Thuyết minh 5),(399.726.295.229),(191.934.980.113),(229.950.658.720),(36.500.945.415),(4.494.691.814),(862.607.571.291),-399726295229.0,-191934980113.0,-229950658720.0,-36500945415.0,-4494691814.0,-862607571291.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(1.390.005.101),(137.539.540),429.773.619,2.229.001.747,(10.207.805),1.121.022.920,-1390005101.0,-137539540.0,429773619.0,2229001747.0,-10207805.0,1121022920.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,12.150.377.534.851,3.721.860.447.841,12.960.740.251.738,451.035.260.506,24.841.108.118,29.308.854.603.054,12150377534851.0,3721860447841.0,12960740251738.0,451035260506.0,24841108118.0,29308854603054.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.317.164.904.373,2.290.607.557.851,6.531.693.801.009,318.357.603.146,14.971.919.075,14.472.795.785.454,5317164904373.0,2290607557851.0,6531693801009.0,318357603146.0,14971919075.0,14472795785454.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,773.445.840.574,315.257.909.832,924.921.460.081,64.977.114.309,2.444.306.399,2.081.046.631.195,773445840574.0,315257909832.0,924921460081.0,64977114309.0,2444306399.0,2081046631195.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(52.678.571.846),(25.698.565.546),(52.537.272.411),(8.119.021.346),(125.588.320),(139.159.019.469),-52678571846.0,-25698565546.0,-52537272411.0,-8119021346.0,-125588320.0,-139159019469.0
Giảm do mất quyền kiểm soát tại cáccông ty con (Thuyết minh 5),Giá trị hao mòn lũy kế > Giảm do mất quyền kiểm soát tại cáccông ty con (Thuyết minh 5),Giảm do mất quyền kiểm soát tại cáccông ty con (Thuyết minh 5),(110.425.865.710),(126.508.770.225),(156.383.961.069),(27.086.044.076),(2.767.200.778),(423.171.841.858),-110425865710.0,-126508770225.0,-156383961069.0,-27086044076.0,-2767200778.0,-423171841858.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(9.042.650.611),(227.734.447),805.759.666,107.697.400,(14.894.078),(8.371.822.070),-9042650611.0,-227734447.0,805759666.0,107697400.0,-14894078.0,-8371822070.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.918.463.656.780,2.453.430.397.465,7.248.499.787.276,348.237.349.433,14.508.542.298,15.983.139.733.252,5918463656780.0,2453430397465.0,7248499787276.0,348237349433.0,14508542298.0,15983139733252.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.249.425.574.360,1.372.018.307.553,5.956.708.973.557,161.700.394.097,11.522.522.629,13.751.375.772.196,6249425574360.0,1372018307553.0,5956708973557.0,161700394097.0,11522522629.0,13751375772196.0
