row_label_raw,row_label_full,Năm trước: > Số đầu năm > - Lợi nhuận trong năm,Vốn cổ phần đã phát hành > Năm trước: > 828.184.650.000 > -,Thặng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,Quỹ đầu tư phát triển > Năm trước: > 1.139.675.421.262 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 360.235.354.153 > 305.130.242.224,Đơn vị tính: VND Tổng cộng > Năm trước: > 2.746.528.417.636 > 305.130.242.224,numeric__Vốn cổ phần đã phát hành > Năm trước: > 828.184.650.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước: > 1.139.675.421.262 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 360.235.354.153 > 305.130.242.224,numeric__Đơn vị tính: VND Tổng cộng > Năm trước: > 2.746.528.417.636 > 305.130.242.224
- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,82.813.630.000,-,-,(82.813.630.000),-,82813630000.0,,,-82813630000.0,
- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,-,-,208.684.633.153,(208.684.633.153),-,,,208684633153.0,-208684633153.0,
"- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(23.187.181.000),(23.187.181.000),,,,-23187181000.0,-23187181000.0
- Thù lao HĐQT 2019,- Thù lao HĐQT 2019,- Thù lao HĐQT 2019,-,-,-,(2.514.000.000),(2.514.000.000),,,,-2514000000.0,-2514000000.0
Số cuối năm,Số cuối năm,Số cuối năm,910.998.280.000,418.432.992.221,1.348.360.054.415,348.166.152.224,3.025.957.478.860,910998280000.0,418432992221.0,1348360054415.0,348166152224.0,3025957478860.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,910.998.280.000,418.432.992.221,1.348.360.054.415,348.166.152.224,3.025.957.478.860,910998280000.0,418432992221.0,1348360054415.0,348166152224.0,3025957478860.0
- Lợi nhuận trong năm,Năm nay: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.400.296.032.328,1.400.296.032.328,,,,1400296032328.0,1400296032328.0
- Chia cổ tức bằng cổ phiếu (*),Năm nay: > - Chia cổ tức bằng cổ phiếu (*),- Chia cổ tức bằng cổ phiếu (*),136.640.830.000,-,-,(136.640.830.000),-,136640830000.0,,,-136640830000.0,
- Trích lập quỹ đầu tư phát triển (*),Năm nay: > - Trích lập quỹ đầu tư phát triển (*),- Trích lập quỹ đầu tư phát triển (*),-,-,149.377.868.224,(149.377.868.224),-,,,149377868224.0,-149377868224.0,
"- Trích lập quỹ khen thưởng, phúc lợi (*)","Năm nay: > - Trích lập quỹ khen thưởng, phúc lợi (*)","- Trích lập quỹ khen thưởng, phúc lợi (*)",-,-,-,(16.597.540.000),(16.597.540.000),,,,-16597540000.0,-16597540000.0
- Chia cổ tức bằng tiền (*),Năm nay: > - Chia cổ tức bằng tiền (*),- Chia cổ tức bằng tiền (*),-,-,-,(202.695.780.500),(202.695.780.500),,,,-202695780500.0,-202695780500.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,1.047.639.110.000,418.432.992.221,1.497.737.922.639,1.243.150.165.828,4.206.960.190.688,1047639110000.0,418432992221.0,1497737922639.0,1243150165828.0,4206960190688.0
