row_label_raw,row_label_full,STT,Tên công ty,Tỷ lệ biểu quyết (%),Tỷ lệ sở hữu (%),Địa chỉ trụ sở chính,Hoạt động chính trong năm,numeric__Tên công ty,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ sở hữu (%),numeric__Địa chỉ trụ sở chính,numeric__Hoạt động chính trong năm
15,15,15,Công ty TNHH Xây dựng Đường Kinh Dương Vương 3 và Đường Trường Chinh,100,100,"Số 35 đường Lý Thái Tổ, phường Võ Cường, thành phố Bắc Ninh","Xây dựng công trình kỹ thuật dân dụng, nhà, đường bộ.",,100.0,100.0,,
16,16,16,Công ty TNHH Xây dựng Hồ điều hòa Văn Miêu Bắc Ninh,100,100,"Số 35 đường Lý Thái Tổ, phường Võ Cường, thành phố Bắc Ninh","Xây dựng công trình kỹ thuật dân dụng, nhà, đường bộ.",,100.0,100.0,,
17,17,17,Công ty TNHH Xây dựng Đường từ Đền Đỏ đến Đường vành đai III và TL295B Từ Sơn,100,100,"Số 35 đường Lý Thái Tổ, phường Võ Cường, thành phố Bắc Ninh","Xây dựng công trình kỹ thuật dân dụng, nhà, đường bộ.",,100.0,100.0,,
18,18,18,Công ty TNHH Du lịch và Khách sạn L'Indochina,100,100,"Đường Nguyễn Đăng Đạo, phường Suối Hoa, thành phố Bắc Ninh","Dịch vụ lưu trú, nhà hàng, ăn uống, thương mại, dịch vụ.",,100.0,100.0,,
19,19,19,Công ty TNHH Lợn giống Dabaco Lương Tài,100,100,"Thôn Thanh Khê, xã Lai Hạ, huyện Lương Tài, tỉnh Bắc Ninh","Chăn nuôi lợn, chăn nuôi gia cầm và một số loại gia súc khác; sân xuất, kinh doanh lợn giống, lợn thịt, tinh lợn, ba ba và giống thủy sản khác.",,100.0,100.0,,
20,20,20,Công ty TNHH Dabaco Tuyên Quang,100,100,"Thôn Định Trung, xã Phúc Ủng, huyện Sơn Dương, tỉnh Tuyên Quang","Sản xuất, lai tạo giống gia súc, gia cầm; chăn nuôi gia súc, gia cầm và các lĩnh vực khác liên quan.",,100.0,100.0,,
21,21,21,Công ty TNHH Đầu tư và Phát triển Cụm Công nghiệp Khúc Xuyên,100,100,"Khu Khúc Toại, Phường Khúc Xuyên, Thành phố Bắc Ninh, Tĩnh Bắc Ninh","Kinh doanh bắt động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.",,100.0,100.0,,
22,22,22,Công ty TNHH Đầu tư Nhà ở Xã hội Thuận Thành,100,100,"Thôn Áp, thị trấn Hồ, huyện Thuận Thành, tỉnh Bắc Ninh","Kinh doanh bắt động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,100.0,100.0,,
23,23,23,Công ty TNHH Đầu thực vật Dabaco,100,100,"Cụm công nghiệp Tân Chi, Xã Tân Chi, Huyện Tiến Du, Tĩnh Bắc Ninh","Sản xuất dầu, mỡ động, thực vật",,100.0,100.0,,
24,24,24,Công ty TNHH Dabaco Bình Phước,100,100,"Áp Suối Đôi, xã Tân Hưng, huyện Đồng Phù, tỉnh Bình Phước","Chăn nuôi lợn, chăn nuôi gia cầm và một số loại gia súc khác.",,100.0,100.0,,
25,25,25,Công ty TNHH Dabaco Hòa Bình,100,100,"Xóm Lượng, xã Cuối Hạ, huyện Kim Bôi, tỉnh Hòa Bình",Chăn nuôi lợn và sản xuất giống lợn,,100.0,100.0,,
