row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2020 > Số lượng,Ngày 31 tháng 12 năm 2020 > VND,Đơn vị tính: VND > Ngày 31 tháng 12 năm 2019,Đơn vị tính: VND > Ngày 31 tháng 12 năm 2019_1,numeric__Ngày 31 tháng 12 năm 2020 > Số lượng,numeric__Ngày 31 tháng 12 năm 2020 > VND,numeric__Đơn vị tính: VND > Ngày 31 tháng 12 năm 2019,numeric__Đơn vị tính: VND > Ngày 31 tháng 12 năm 2019_1
Cổ phiếu đăng ký phát hành,Cổ phiếu đăng ký phát hành,Cổ phiếu đăng ký phát hành,104.763.911,1.047.639.110.000,91.099.828,910.998.280.000,104763911.0,1047639110000.0,91099828.0,910998280000.0
Cổ phiếu đã bán ra công chúng,Cổ phiếu đã bán ra công chúng,Cổ phiếu đã bán ra công chúng,104.763.911,1.047.639.110.000,91.099.828,910.998.280.000,104763911.0,1047639110000.0,91099828.0,910998280000.0
Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,104.763.911,1.047.639.110.000,91.099.828,910.998.280.000,104763911.0,1047639110000.0,91099828.0,910998280000.0
