row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngân hàng(Thuyết minh số 20.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng(Thuyết minh số 20.1),Vay ngắn hạn ngân hàng(Thuyết minh số 20.1),2.854.764.834.896,2.854.764.834.896,5.748.786.671.446,(6.993.884.855.711),1.609.666.650.631,1.609.666.650.631,2854764834896.0,2854764834896.0,5748786671446.0,-6993884855711.0,1609666650631.0,1609666650631.0
Vay dài hạn đến hạn trả(Thuyết minh số 20.2),Vay ngắn hạn > Vay dài hạn đến hạn trả(Thuyết minh số 20.2),Vay dài hạn đến hạn trả(Thuyết minh số 20.2),263.048.153.496,263.048.153.496,490.460.315.293,(361.379.960.471),392.128.508.318,392.128.508.318,263048153496.0,263048153496.0,490460315293.0,-361379960471.0,392128508318.0,392128508318.0
Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 20.3),Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 20.3),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 20.3),119.345.559.922,119.345.559.922,109.824.550.044,(123.023.773.533),106.146.336.433,106.146.336.433,119345559922.0,119345559922.0,109824550044.0,-123023773533.0,106146336433.0,106146336433.0
Trái phiếu đến hạn trả(Thuyết minh số 20.5),Vay ngắn hạn > Trái phiếu đến hạn trả(Thuyết minh số 20.5),Trái phiếu đến hạn trả(Thuyết minh số 20.5),-,-,50.000.000.000,-,50.000.000.000,50.000.000.000,,,50000000000.0,,50000000000.0,50000000000.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,660.000.000,660.000.000,-,(660.000.000),-,-,660000000.0,660000000.0,,-660000000.0,,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,3.237.818.548.314,3.237.818.548.314,6.399.071.536.783,(7.478.948.589.715),2.157.941.495.382,2.157.941.495.382,3237818548314.0,3237818548314.0,6399071536783.0,-7478948589715.0,2157941495382.0,2157941495382.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 20.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 20.2),Vay ngân hàng(Thuyết minh số 20.2),1.079.045.833.270,1.079.045.833.270,307.667.978.675,(632.493.011.493),754.220.800.452,754.220.800.452,1079045833270.0,1079045833270.0,307667978675.0,-632493011493.0,754220800452.0,754220800452.0
Nợ thuê tài chính(Thuyết minh số 20.3),Vay dài hạn > Nợ thuê tài chính(Thuyết minh số 20.3),Nợ thuê tài chính(Thuyết minh số 20.3),242.184.129.516,242.184.129.516,13.437.188.211,(110.322.692.588),145.298.625.139,145.298.625.139,242184129516.0,242184129516.0,13437188211.0,-110322692588.0,145298625139.0,145298625139.0
Vay dài hạn từ quý Đầu tư và Phát triển UBND tỉnh Bắc Ninh(Thuyết minh số 20.4),Vay dài hạn > Vay dài hạn từ quý Đầu tư và Phát triển UBND tỉnh Bắc Ninh(Thuyết minh số 20.4),Vay dài hạn từ quý Đầu tư và Phát triển UBND tỉnh Bắc Ninh(Thuyết minh số 20.4),94.000.000.000,94.000.000.000,-,-,94.000.000.000,94.000.000.000,94000000000.0,94000000000.0,,,94000000000.0,94000000000.0
Trái phiếu(Thuyết minh số 20.5),Vay dài hạn > Trái phiếu(Thuyết minh số 20.5),Trái phiếu(Thuyết minh số 20.5),-,-,300.000.000.000,(50.000.000.000),250.000.000.000,250.000.000.000,,,300000000000.0,-50000000000.0,250000000000.0,250000000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.415.229.962.786,1.415.229.962.786,621.105.166.886,(792.815.704.081),1.243.519.425.591,1.243.519.425.591,1415229962786.0,1415229962786.0,621105166886.0,-792815704081.0,1243519425591.0,1243519425591.0
