row_label_raw,row_label_full,col_0,Số đầu năm,Số phát sinh trong năm,Số đã nộp/cấn trừ trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phát sinh trong năm,numeric__Số đã nộp/cấn trừ trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,162.637.451,260.439.395.301,(237.666.442.591),22.935.590.161,162637451.0,260439395301.0,-237666442591.0,22935590161.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,14.364.624.919,153.677.301.975,(51.694.781.184),116.347.145.710,14364624919.0,153677301975.0,-51694781184.0,116347145710.0
Thuế nhập khẩu,Phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,51.677.010.544,(51.677.010.544),-,,51677010544.0,-51677010544.0,
Tiền sử dụng đất,Phải nộp > Tiền sử dụng đất,Tiền sử dụng đất,2.235.663.100,196.003.726.863,(198.157.282.963),82.107.000,2235663100.0,196003726863.0,-198157282963.0,82107000.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.541.827,327.145.300,(316.521.671),12.165.456,1541827.0,327145300.0,-316521671.0,12165456.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,182.655.612,5.348.517.942,(5.438.869.443),92.304.111,182655612.0,5348517942.0,-5438869443.0,92304111.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,16.947.122.909,667.473.097.925,(544.950.908.396),139.469.312.438,16947122909.0,667473097925.0,-544950908396.0,139469312438.0
,,,Số đầu năm,Số kê khai hoàn trong năm,Số đã cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,157.551.030.549,148.016.643.927,(241.122.211.757),64.445.462.719,157551030549.0,148016643927.0,-241122211757.0,64445462719.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,157.551.030.549,148.016.643.927,(241.122.211.757),64.445.462.719,157551030549.0,148016643927.0,-241122211757.0,64445462719.0
