row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,471.835.628.284,294.835.620.557,471835628284.0,294835620557.0
- Enerfo Pte Ltd (Singapore),- Enerfo Pte Ltd (Singapore),- Enerfo Pte Ltd (Singapore),186.413.855.355,-,186413855355.0,
- Louis Dreyfus Company Asia Pte Ltd,- Louis Dreyfus Company Asia Pte Ltd,- Louis Dreyfus Company Asia Pte Ltd,53.026.575.000,-,53026575000.0,
- Crossland Marketing (2000) Pte Ltd,- Crossland Marketing (2000) Pte Ltd,- Crossland Marketing (2000) Pte Ltd,43.396.510.000,-,43396510000.0,
- Peter Cremer Canada Ltd,- Peter Cremer Canada Ltd,- Peter Cremer Canada Ltd,-,99.781.000.000,,99781000000.0
- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,- Bunge Asia Pte Ltd,-,42.261.177.500,,42261177500.0
- Cargil,- Cargil,- Cargil,-,74.207.542.500,,74207542500.0
- CJ International Asia Pte Ltd,- CJ International Asia Pte Ltd,- CJ International Asia Pte Ltd,-,52.424.604.935,,52424604935.0
- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,188.998.687.929,26.161.295.622,188998687929.0,26161295622.0
Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,532.490.922.848,600.615.782.212,532490922848.0,600615782212.0
Phải trả các bên liên quan(Thuyết minh số 29),Phải trả các bên liên quan(Thuyết minh số 29),Phải trả các bên liên quan(Thuyết minh số 29),7.869.438.155,16.020.369.240,7869438155.0,16020369240.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.012.195.989.287,911.471.772.009,1012195989287.0,911471772009.0
