row_label_raw,row_label_full,col_0,Giá trị ghi số(đồng thời là giá trị hợp lý) > Số cuối năm,Giá trị ghi số(đồng thời là giá trị hợp lý) > Số đầu năm,numeric__Giá trị ghi số(đồng thời là giá trị hợp lý) > Số cuối năm,numeric__Giá trị ghi số(đồng thời là giá trị hợp lý) > Số đầu năm
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,102.412.820.589,86.483.458.082,102412820589.0,86483458082.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,102.412.820.589,86.483.458.082,102412820589.0,86483458082.0
