row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2)
Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,,-,15.000.000.000,,,15000000000.0
Thực phẩm Dabaco,Thực phẩm Dabaco,Thực phẩm Dabaco,Công ty liên kết,,- 15.000.000.000,,,-15000000000.0
Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7),10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),,,
Công ty Cổ phần Transeco,Phải trả người bán (Thuyết minh số 15) > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,7.869.438.155,16.020.369.240,,7869438155.0,16020369240.0
Công ty Cổ phần Transeco,Phải trả người bán (Thuyết minh số 15) > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,7.869.438.155,16.020.369.240,,7869438155.0,16020369240.0
Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),,,
Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,,,,,,
Thực phẩm Dabaco,Công ty Cổ phần Chế biến > Thực phẩm Dabaco,Thực phẩm Dabaco,Công ty liên kết,12.198.000,42.210.000,,12198000.0,42210000.0
Thực phẩm Dabaco,Công ty Cổ phần Chế biến > Thực phẩm Dabaco,Thực phẩm Dabaco,Công ty liên kết,12.198.000,42.210.000,,12198000.0,42210000.0
