row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Khoản đặt cọc liên quan đến dự án Thuận Thành 2,Ngắn hạn > Khoản đặt cọc liên quan đến dự án Thuận Thành 2,Khoản đặt cọc liên quan đến dự án Thuận Thành 2,161.353.858.250,-,161353858250.0,
"Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế","Ngắn hạn > Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế","Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế",12.038.188.437,13.133.063.067,12038188437.0,13133063067.0
Phải trả cổ tức,Ngắn hạn > Phải trả cổ tức,Phải trả cổ tức,7.437.115.000,-,7437115000.0,
"Các khoản phải trả, phải nộp ngắn hạn khác","Ngắn hạn > Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",19.578.468.737,18.762.514.279,19578468737.0,18762514279.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,200.407.630.424,31.895.577.346,200407630424.0,31895577346.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Khoản hỗ trợ của UBND tỉnh Bắc Ninh (*),Dài hạn > Khoản hỗ trợ của UBND tỉnh Bắc Ninh (*),Khoản hỗ trợ của UBND tỉnh Bắc Ninh (*),173.563.494.000,173.563.494.000,173563494000.0,173563494000.0
Nhận góp vốn theo hợp đồng hợp tác kinh doanh,Dài hạn > Nhận góp vốn theo hợp đồng hợp tác kinh doanh,Nhận góp vốn theo hợp đồng hợp tác kinh doanh,124.341.453.976,26.266.195.123,124341453976.0,26266195123.0
"Nhận ký quỹ, ký cược dài hạn (**)","Dài hạn > Nhận ký quỹ, ký cược dài hạn (**)","Nhận ký quỹ, ký cược dài hạn (**)",84.385.428.300,114.004.251.710,84385428300.0,114004251710.0
"Các khoản phải trả, phải nộp dài hạn khác","Dài hạn > Các khoản phải trả, phải nộp dài hạn khác","Các khoản phải trả, phải nộp dài hạn khác",13.915.776.002,17.225.929.954,13915776002.0,17225929954.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,396.206.152.278,331.059.870.787,396206152278.0,331059870787.0
