row_label_raw,row_label_full,col_0,"Máy móc, thiết bị",Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,741.422.064.924,15.452.183.341,756.874.248.265,741422064924.0,15452183341.0,756874248265.0
Thuê thêm trong năm,Nguyên giá: > Thuê thêm trong năm,Thuê thêm trong năm,9.239.564.000,3.172.880.000,12.412.444.000,9239564000.0,3172880000.0,12412444000.0
Phân loại sang TSCĐ hữu hình,Nguyên giá: > Phân loại sang TSCĐ hữu hình,Phân loại sang TSCĐ hữu hình,(66.291.264.153),(14.076.450.000),(80.367.714.153),-66291264153.0,-14076450000.0,-80367714153.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(2.183.783.839),-,(2.183.783.839),-2183783839.0,,-2183783839.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,682.186.580.932,4.548.613.341,686.735.194.273,682186580932.0,4548613341.0,686735194273.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,141.614.023.929,6.460.391.560,148.074.415.489,141614023929.0,6460391560.0,148074415489.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,72.711.324.759,1.202.004.274,73.913.329.033,72711324759.0,1202004274.0,73913329033.0
Phân loại sang TSCĐ hữu hình,Giá trị khấu hao lũy kế: > Phân loại sang TSCĐ hữu hình,Phân loại sang TSCĐ hữu hình,(48.726.355.264),(7.113.169.049),(55.839.524.313),-48726355264.0,-7113169049.0,-55839524313.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,165.598.993.424,549.226.785,166.148.220.209,165598993424.0,549226785.0,166148220209.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,599.808.040.995,8.991.791.781,608.799.832.776,599808040995.0,8991791781.0,608799832776.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,516.587.587.508,3.999.386.556,520.586.974.064,516587587508.0,3999386556.0,520586974064.0
