row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Mãy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Mãy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.946.451.106.959,2.005.125.186.193,209.914.796.301,39.964.172.565,5.201.455.262.018,2946451106959.0,2005125186193.0,209914796301.0,39964172565.0,5201455262018.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,36.805.164.528,49.409.624.851,1.590.266.505,87.805.055.884,,36805164528.0,49409624851.0,1590266505.0,87805055884.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,184.694.797.795,30.739.482.741,-,-,215.434.280.536,184694797795.0,30739482741.0,,,215434280536.0
Phân loại từ TSCĐ thuê tài chính,Nguyên giá: > Phân loại từ TSCĐ thuê tài chính,Phân loại từ TSCĐ thuê tài chính,-,66.291.264.153,14.081.450.000,-,80.372.714.153,,66291264153.0,14081450000.0,,80372714153.0
Tăng khác,Nguyên giá: > Tăng khác,Tăng khác,39.070.956.857,15.058.925.095,259.919.349,677.133.398,55.066.934.699,39070956857.0,15058925095.0,259919349.0,677133398.0,55066934699.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.330.959.833),(5.382.866.852),(14.533.564.117),(504.619.091),(21.752.009.893),-1330959833.0,-5382866852.0,-14533564117.0,-504619091.0,-21752009893.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,9.840.224.713,(8.038.228.635),(1.903.869.160),101.873.082,-,9840224713.0,-8038228635.0,-1903869160.0,101873082.0,
Giảm do điều chỉnh quyết toán xây dựng cơ bản,Nguyên giá: > Giảm do điều chỉnh quyết toán xây dựng cơ bản,Giảm do điều chỉnh quyết toán xây dựng cơ bản,(1.799.574.645),(1.250.000.000),-,-,(3.049.574.645),-1799574645.0,-1250000000.0,,,-3049574645.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,3.176.926.551.846,2.139.348.927.223,257.228.357.224,41.828.826.459,5.615.332.662.752,3176926551846.0,2139348927223.0,257228357224.0,41828826459.0,5615332662752.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,23.780.997.792,164.738.347.381,52.524.009.813,5.804.249.089,246.847.604.075,23780997792.0,164738347381.0,52524009813.0,5804249089.0,246847604075.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,615.786.628.460,500.084.587.782,121.079.258.363,12.427.743.553,1.249.378.218.158,615786628460.0,500084587782.0,121079258363.0,12427743553.0,1249378218158.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,181.931.145.137,185.975.067.545,21.096.660.157,4.217.337.815,393.220.210.654,181931145137.0,185975067545.0,21096660157.0,4217337815.0,393220210654.0
Phân loại từ TSCĐ thuê tài chính,Giá trị khấu hao lũy kế: > Phân loại từ TSCĐ thuê tài chính,Phân loại từ TSCĐ thuê tài chính,-,48.726.355.264,7.113.169.049,-,55.839.524.313,,48726355264.0,7113169049.0,,55839524313.0
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,189.814.602,209.121.090,(58.933.516),(340.002.176),-,189814602.0,209121090.0,-58933516.0,-340002176.0,
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.330.959.833),(5.382.866.852),(10.769.042.095),(504.619.091),(17.987.487.871),-1330959833.0,-5382866852.0,-10769042095.0,-504619091.0,-17987487871.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,796.576.628.366,729.612.264.829,138.461.111.958,15.800.460.101,1.680.450.465.254,796576628366.0,729612264829.0,138461111958.0,15800460101.0,1680450465254.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.330.664.478.499,1.505.040.598.411,88.835.537.938,27.536.429.012,3.952.077.043.860,2330664478499.0,1505040598411.0,88835537938.0,27536429012.0,3952077043860.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.380.349.923.480,1.409.736.662.394,118.767.245.266,26.028.366.358,3.934.882.197.498,2380349923480.0,1409736662394.0,118767245266.0,26028366358.0,3934882197498.0
Trong đó:Tài sản sử dụng để cảm cố/thế chấp (*),Giá trị còn lại: > Trong đó:Tài sản sử dụng để cảm cố/thế chấp (*),Trong đó:Tài sản sử dụng để cảm cố/thế chấp (*),679.323.532.046,550.369.624.508,32.960.971.060,6.669.248.872,1.269.323.376.486,679323532046.0,550369624508.0,32960971060.0,6669248872.0,1269323376486.0
