row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,10.189.067.019.482,7.299.931.189.964,10189067019482.0,7299931189964.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,8.884.827.428.859,6.457.926.986.644,8884827428859.0,6457926986644.0
"Doanh thu bán vật liệu, hàng hóa","Trong đó: > Doanh thu bán vật liệu, hàng hóa","Doanh thu bán vật liệu, hàng hóa",862.232.173.135,565.242.664.453,862232173135.0,565242664453.0
Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Trong đó: > Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,442.007.417.488,276.761.538.867,442007417488.0,276761538867.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(167.483.513.799),(113.174.016.215),-167483513799.0,-113174016215.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(159.007.575.331),(108.251.309.101),-159007575331.0,-108251309101.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(3.210.922.335),(1.348.593.379),-3210922335.0,-1348593379.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(5.265.016.133),(3.574.113.735),-5265016133.0,-3574113735.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,10.021.583.505.683,7.186.757.173.749,10021583505683.0,7186757173749.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,8.718.522.713.115,6.344.752.970.429,8718522713115.0,6344752970429.0
"Doanh thu bán vật liệu, hàng hóa","Trong đó: > Doanh thu bán vật liệu, hàng hóa","Doanh thu bán vật liệu, hàng hóa",861.053.375.080,565.242.664.453,861053375080.0,565242664453.0
Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Trong đó: > Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,442.007.417.488,276.761.538.867,442007417488.0,276761538867.0
