row_label_raw,row_label_full,Tên đơn vị,Tên đơn vị_1,Ngày 31 tháng 12 năm 2020 > Giá trị (VND) > Tên đơn vị,Ngày 31 tháng 12 năm 2020 > Tỷ lệ vốn năm giữ > Tên đơn vị,Ngày 31 tháng 12 năm 2020 > Tỷ lệ quyền biểu quyết > Tên đơn vị,Ngày 31 tháng 12 năm 2019 > Giá trị (VND) > Tên đơn vị,Ngày 31 tháng 12 năm 2019 > Tỷ lệ vốn năm giữ > Tên đơn vị,Ngày 31 tháng 12 năm 2019 > Tỷ lệ quyền biểu quyết > Tên đơn vị,numeric__Tên đơn vị_1,numeric__Ngày 31 tháng 12 năm 2020 > Giá trị (VND) > Tên đơn vị,numeric__Ngày 31 tháng 12 năm 2020 > Tỷ lệ vốn năm giữ > Tên đơn vị,numeric__Ngày 31 tháng 12 năm 2020 > Tỷ lệ quyền biểu quyết > Tên đơn vị,numeric__Ngày 31 tháng 12 năm 2019 > Giá trị (VND) > Tên đơn vị,numeric__Ngày 31 tháng 12 năm 2019 > Tỷ lệ vốn năm giữ > Tên đơn vị,numeric__Ngày 31 tháng 12 năm 2019 > Tỷ lệ quyền biểu quyết > Tên đơn vị
Công ty Cổ phần Transeco Công ty TNHH Chế biến thực phẩm Dabaco,Công ty Cổ phần Transeco Công ty TNHH Chế biến thực phẩm Dabaco,Công ty Cổ phần Transeco Công ty TNHH Chế biến thực phẩm Dabaco,(i),23.068.725.907,"33,33%","33,33%",20.000.000.000,"33,33%","33,33%",,23068725907.0,0.3333,0.3333,20000000000.0,0.3333,0.3333
Công ty Cổ phần Transeco Công ty TNHH Chế biến thực phẩm Dabaco,Công ty Cổ phần Transeco Công ty TNHH Chế biến thực phẩm Dabaco,Công ty Cổ phần Transeco Công ty TNHH Chế biến thực phẩm Dabaco,(ii),79.344.094.682,"45,65%","45,65%",66.483.458.082,45%,45%,,79344094682.0,0.45649999999999996,0.45649999999999996,66483458082.0,0.45,0.45
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,102.412.820.589,,,86.483.458.082,,,,102412820589.0,,,86483458082.0,,
