row_label_raw,row_label_full,col_0,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số phải nộp cuối năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,,,,
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,-,102.562.647.693,102.562.647.693,-,,102562647693.0,102562647693.0,
"- Thuế Xuất khẩu, Nhập khẩu","- Thuế Xuất khẩu, Nhập khẩu","- Thuế Xuất khẩu, Nhập khẩu",-,481.687.102,481.687.102,-,,481687102.0,481687102.0,
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,15.728.343.732,21.810.598.193,19.453.291.102,18.085.650.823,15728343732.0,21810598193.0,19453291102.0,18085650823.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,176.776.304,3.571.241.919,3.505.505.629,242.512.594,176776304.0,3571241919.0,3505505629.0,242512594.0
- Thuế Tài nguyên,- Thuế Tài nguyên,- Thuế Tài nguyên,1.790.749.795,29.256.985.850,30.219.079.078,828.656.567,1790749795.0,29256985850.0,30219079078.0,828656567.0
"- Thuế Nhà đất, Tiền thuê đất","- Thuế Nhà đất, Tiền thuê đất","- Thuế Nhà đất, Tiền thuê đất",-,2.708.332.585,2.708.332.585,-,,2708332585.0,2708332585.0,
- Thuế môn bài,- Thuế môn bài,- Thuế môn bài,-,4.000.000,4.000.000,-,,4000000.0,4000000.0,
"- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",2.296.822.068,15.440.305.908,15.910.295.804,1.826.832.172,2296822068.0,15440305908.0,15910295804.0,1826832172.0
,,,19.992.691.899,175.835.799.250,174.844.838.993,20.983.652.156,19992691899.0,175835799250.0,174844838993.0,20983652156.0
